,i_vals,loss,min_loss,no_fold_vals,supervised,auxilaryEmbedding1,auxilaryEmbedding2,auxilaryGraph,linkageActFun,linkageBatchNorm,linkageNeurons,linkagePosition,reverseLinkagePosition
0,0,5.449750900268555,5.089282512664795,5,True,False,False,False,True,True,,None,None
1,1,5.635606288909912,5.141388416290283,5,True,False,False,False,True,True,,None,None
2,2,7.258533000946045,6.279385089874268,5,True,False,False,False,True,True,,None,None
3,3,5.26907205581665,4.699642181396484,5,True,False,False,False,True,True,,None,None
4,4,5.182432174682617,4.882760524749756,5,True,False,False,False,True,True,,None,None
5,0,11.382649421691895,10.216224670410156,5,False,False,False,False,True,True,,None,None
6,1,10.472455978393555,9.081186294555664,5,False,False,False,False,True,True,,None,None
7,2,10.783546447753906,9.954681396484375,5,False,False,False,False,True,True,,None,None
8,3,11.69568920135498,10.530496597290039,5,False,False,False,False,True,True,,None,None
9,4,9.613811492919922,9.155548095703125,5,False,False,False,False,True,True,,None,None
10,0,16.86069679260254,15.348380088806152,10,False,False,False,False,True,True,,None,None
11,1,16.049108505249023,14.31385612487793,10,False,False,False,False,True,True,,None,None
12,2,15.391557693481445,14.139730453491211,10,False,False,False,False,True,True,,None,None
13,3,15.020101547241211,14.362079620361328,10,False,False,False,False,True,True,,None,None
14,4,14.553048133850098,13.937843322753906,10,False,False,False,False,True,True,,None,None
15,5,15.204012870788574,14.945966720581055,10,False,False,False,False,True,True,,None,None
16,6,15.720857620239258,14.964855194091797,10,False,False,False,False,True,True,,None,None
17,7,15.193943977355957,15.065921783447266,10,False,False,False,False,True,True,,None,None
18,8,16.221622467041016,15.497308731079102,10,False,False,False,False,True,True,,None,None
19,9,17.774738311767578,16.801698684692383,10,False,False,False,False,True,True,,None,None
0,0,12.038985252380371,5.10156774520874,5,True,False,False,True,False,True,,Late,Early
1,1,3039.460205078125,169.01304626464844,5,True,False,False,True,False,True,,Late,Early
2,2,20.92982292175293,8.490042686462402,5,True,False,False,True,False,True,,Late,Early
3,3,7.555576801300049,4.85170841217041,5,True,False,False,True,False,True,,Late,Early
4,4,11.258755683898926,9.799778938293457,5,True,False,False,True,False,True,,Late,Early
5,0,61.716064453125,9.38577651977539,5,False,False,False,True,False,True,,Late,Early
6,1,28.9906063079834,16.83331871032715,5,False,False,False,True,False,True,,Late,Early
7,2,280.5178527832031,36.71493911743164,5,False,False,False,True,False,True,,Late,Early
8,3,157.2759552001953,16.210796356201172,5,False,False,False,True,False,True,,Late,Early
9,4,70.51656341552734,17.32124137878418,5,False,False,False,True,False,True,,Late,Early
10,0,84.57295227050781,33.07281494140625,10,False,False,False,True,False,True,,Late,Early
11,1,256.9797058105469,33.01383590698242,10,False,False,False,True,False,True,,Late,Early
12,2,834.6276245117188,148.86978149414062,10,False,False,False,True,False,True,,Late,Early
13,3,53.56864929199219,30.147369384765625,10,False,False,False,True,False,True,,Late,Early
14,4,1614.211669921875,81.32203674316406,10,False,False,False,True,False,True,,Late,Early
15,5,125.31744384765625,45.34105682373047,10,False,False,False,True,False,True,,Late,Early
16,6,167.11746215820312,24.916051864624023,10,False,False,False,True,False,True,,Late,Early
17,7,308.7478942871094,67.61397552490234,10,False,False,False,True,False,True,,Late,Early
18,8,318.7096862792969,65.71556091308594,10,False,False,False,True,False,True,,Late,Early
19,9,221.3021697998047,21.582395553588867,10,False,False,False,True,False,True,,Late,Early
0,0,5.90275764465332,4.7702765464782715,5,True,False,True,True,False,True,,Late,Late
1,1,58.44658279418945,13.261808395385742,5,True,False,True,True,False,True,,Late,Late
2,2,5.953622817993164,4.777978420257568,5,True,False,True,True,False,True,,Late,Late
3,3,6.353863716125488,4.737458229064941,5,True,False,True,True,False,True,,Late,Late
4,4,35.43013000488281,18.44675636291504,5,True,False,True,True,False,True,,Late,Late
5,0,15.864754676818848,15.024253845214844,5,False,False,True,True,False,True,,Late,Late
6,1,15.111088752746582,12.477924346923828,5,False,False,True,True,False,True,,Late,Late
7,2,26.308652877807617,22.327428817749023,5,False,False,True,True,False,True,,Late,Late
8,3,19.38616180419922,12.256275177001953,5,False,False,True,True,False,True,,Late,Late
9,4,18.32719612121582,14.77849292755127,5,False,False,True,True,False,True,,Late,Late
10,0,15.141307830810547,13.566244125366211,10,False,False,True,True,False,True,,Late,Late
11,1,24.35740089416504,17.757408142089844,10,False,False,True,True,False,True,,Late,Late
12,2,31.27484893798828,21.330181121826172,10,False,False,True,True,False,True,,Late,Late
13,3,26.292261123657227,21.891769409179688,10,False,False,True,True,False,True,,Late,Late
14,4,17.43582534790039,16.092496871948242,10,False,False,True,True,False,True,,Late,Late
15,5,18.927602767944336,17.120197296142578,10,False,False,True,True,False,True,,Late,Late
16,6,25.609689712524414,16.65924835205078,10,False,False,True,True,False,True,,Late,Late
17,7,24.117815017700195,18.86170768737793,10,False,False,True,True,False,True,,Late,Late
18,8,18.62726402282715,16.267465591430664,10,False,False,True,True,False,True,,Late,Late
19,9,24.519182205200195,16.26451873779297,10,False,False,True,True,False,True,,Late,Late
0,0,56.590545654296875,14.29182243347168,5,True,False,False,False,False,True,,Late,None
1,1,788.65283203125,37.36567306518555,5,True,False,False,False,False,True,,Late,None
2,2,85.30906677246094,18.42884635925293,5,True,False,False,False,False,True,,Late,None
3,3,6.707417964935303,6.469496726989746,5,True,False,False,False,False,True,,Late,None
4,4,12.229239463806152,8.133517265319824,5,True,False,False,False,False,True,,Late,None
5,0,93.64717102050781,22.272064208984375,5,False,False,False,False,False,True,,Late,None
6,1,43.949920654296875,18.546058654785156,5,False,False,False,False,False,True,,Late,None
7,2,245.7650909423828,25.230947494506836,5,False,False,False,False,False,True,,Late,None
8,3,52.760372161865234,27.806859970092773,5,False,False,False,False,False,True,,Late,None
9,4,64.28190612792969,19.35556983947754,5,False,False,False,False,False,True,,Late,None
10,0,78.90737915039062,28.527666091918945,10,False,False,False,False,False,True,,Late,None
11,1,427.14410400390625,41.1834716796875,10,False,False,False,False,False,True,,Late,None
12,2,253.9864959716797,64.71699523925781,10,False,False,False,False,False,True,,Late,None
13,3,72.0318603515625,28.95682716369629,10,False,False,False,False,False,True,,Late,None
14,4,415.7748718261719,72.26392364501953,10,False,False,False,False,False,True,,Late,None
15,5,109.96631622314453,22.90083885192871,10,False,False,False,False,False,True,,Late,None
16,6,78.78108215332031,49.00977325439453,10,False,False,False,False,False,True,,Late,None
17,7,141.98477172851562,20.53409767150879,10,False,False,False,False,False,True,,Late,None
18,8,178.0576629638672,37.63066864013672,10,False,False,False,False,False,True,,Late,None
19,9,70.15093231201172,31.43014144897461,10,False,False,False,False,False,True,,Late,None
