,i_vals,loss,min_loss,no_fold_vals,supervised,auxilaryEmbedding1,auxilaryEmbedding2,auxilaryGraph,linkageActFun,linkageBatchNorm,linkageNeurons,linkagePosition,reverseLinkagePosition
8,3,8.25693416595459,7.6252241134643555,5,False,True,False,True,False,True,,Late,Both
9,4,8.818029403686523,6.724044322967529,5,False,True,False,True,False,True,,Late,Both
10,0,13.719284057617188,12.717723846435547,10,False,True,False,True,False,True,,Late,Both
11,1,10.105112075805664,9.570280075073242,10,False,True,False,True,False,True,,Late,Both
12,2,10.664589881896973,9.884530067443848,10,False,True,False,True,False,True,,Late,Both
13,3,12.25510311126709,10.947425842285156,10,False,True,False,True,False,True,,Late,Both
14,4,12.825406074523926,11.650038719177246,10,False,True,False,True,False,True,,Late,Both
15,5,12.17979907989502,11.388386726379395,10,False,True,False,True,False,True,,Late,Both
16,6,12.9649076461792,11.369105339050293,10,False,True,False,True,False,True,,Late,Both
17,7,11.660395622253418,11.425457954406738,10,False,True,False,True,False,True,,Late,Both
18,8,12.544227600097656,10.523755073547363,10,False,True,False,True,False,True,,Late,Both
19,9,11.33121395111084,10.943869590759277,10,False,True,False,True,False,True,,Late,Both
0,0,5.115243434906006,4.439950942993164,5,True,False,True,True,False,True,,Late,Late
1,1,11.440074920654297,5.082671165466309,5,True,False,True,True,False,True,,Late,Late
2,2,5.4354143142700195,4.787052154541016,5,True,False,True,True,False,True,,Late,Late
3,3,7.0402750968933105,5.05220365524292,5,True,False,True,True,False,True,,Late,Late
4,4,5.6961164474487305,4.961130619049072,5,True,False,True,True,False,True,,Late,Late
5,0,6.846461296081543,6.736586570739746,5,False,False,True,True,False,True,,Late,Late
6,1,7.375386714935303,6.599379539489746,5,False,False,True,True,False,True,,Late,Late
7,2,7.219746112823486,7.081195831298828,5,False,False,True,True,False,True,,Late,Late
8,3,8.031614303588867,7.422881126403809,5,False,False,True,True,False,True,,Late,Late
9,4,7.776982307434082,6.969347953796387,5,False,False,True,True,False,True,,Late,Late
10,0,11.355324745178223,10.78547477722168,10,False,False,True,True,False,True,,Late,Late
11,1,10.538244247436523,9.633770942687988,10,False,False,True,True,False,True,,Late,Late
12,2,11.046844482421875,10.217451095581055,10,False,False,True,True,False,True,,Late,Late
13,3,10.3353910446167,9.79493236541748,10,False,False,True,True,False,True,,Late,Late
14,4,10.616361618041992,9.59923267364502,10,False,False,True,True,False,True,,Late,Late
15,5,10.918207168579102,10.47769832611084,10,False,False,True,True,False,True,,Late,Late
16,6,11.113823890686035,10.66958999633789,10,False,False,True,True,False,True,,Late,Late
17,7,11.253747940063477,10.29063892364502,10,False,False,True,True,False,True,,Late,Late
18,8,10.84487533569336,9.546249389648438,10,False,False,True,True,False,True,,Late,Late
19,9,11.497889518737793,10.556217193603516,10,False,False,True,True,False,True,,Late,Late
0,0,196.592529296875,194.5740966796875,5,True,False,False,False,True,True,,None,None
1,1,224.82940673828125,224.45921325683594,5,True,False,False,False,True,True,,None,None
2,2,217.6143341064453,202.8523712158203,5,True,False,False,False,True,True,,None,None
3,3,255.6068115234375,234.2729034423828,5,True,False,False,False,True,True,,None,None
4,4,140.83140563964844,118.34988403320312,5,True,False,False,False,True,True,,None,None
5,0,264.98712158203125,264.98712158203125,5,False,False,False,False,True,True,,None,None
6,1,190.4709930419922,190.4709930419922,5,False,False,False,False,True,True,,None,None
7,2,189.2768096923828,188.3164520263672,5,False,False,False,False,True,True,,None,None
8,3,249.70474243164062,191.568115234375,5,False,False,False,False,True,True,,None,None
9,4,156.3126983642578,154.9751434326172,5,False,False,False,False,True,True,,None,None
10,0,1301.294677734375,1278.19775390625,10,False,False,False,False,True,True,,None,None
11,1,154.81475830078125,150.8959503173828,10,False,False,False,False,True,True,,None,None
12,2,157.6170196533203,156.44607543945312,10,False,False,False,False,True,True,,None,None
13,3,228.30166625976562,228.30166625976562,10,False,False,False,False,True,True,,None,None
14,4,225.51051330566406,224.10369873046875,10,False,False,False,False,True,True,,None,None
15,5,244.1310577392578,244.1310577392578,10,False,False,False,False,True,True,,None,None
16,6,189.46446228027344,119.652099609375,10,False,False,False,False,True,True,,None,None
17,7,217.66563415527344,185.86300659179688,10,False,False,False,False,True,True,,None,None
18,8,147.61900329589844,144.59153747558594,10,False,False,False,False,True,True,,None,None
19,9,112.06764221191406,111.0614013671875,10,False,False,False,False,True,True,,None,None
0,0,69.37659454345703,56.70240020751953,5,True,False,False,True,False,True,,Late,Early
1,1,180.1334991455078,166.32627868652344,5,True,False,False,True,False,True,,Late,Early
2,2,110.65986633300781,73.50333404541016,5,True,False,False,True,False,True,,Late,Early
3,3,115.06169128417969,97.2497329711914,5,True,False,False,True,False,True,,Late,Early
4,4,457.28875732421875,390.75286865234375,5,True,False,False,True,False,True,,Late,Early
5,0,129.40672302246094,127.22998809814453,5,False,False,False,True,False,True,,Late,Early
6,1,144.16285705566406,68.44029998779297,5,False,False,False,True,False,True,,Late,Early
7,2,215.67738342285156,203.82383728027344,5,False,False,False,True,False,True,,Late,Early
8,3,257.5276184082031,257.5276184082031,5,False,False,False,True,False,True,,Late,Early
9,4,587.0485229492188,587.0485229492188,5,False,False,False,True,False,True,,Late,Early
10,0,326.4257507324219,321.3691101074219,10,False,False,False,True,False,True,,Late,Early
11,1,75.89752197265625,63.33494186401367,10,False,False,False,True,False,True,,Late,Early
12,2,43.11919021606445,39.58069610595703,10,False,False,False,True,False,True,,Late,Early
13,3,67.2530517578125,61.656803131103516,10,False,False,False,True,False,True,,Late,Early
