SA1_7DIG16,0,1
1100701,-35.146102513114585,149.85770256681036
1100702,-35.43468243564438,149.80305713222168
1100703,-35.43862426749627,149.7895880549219
1100704,-35.43900799920975,149.80227428842596
1100705,-35.44996961869418,149.79680380316327
1100706,-35.58118378908835,149.73593892483532
1100707,-35.617499388257116,149.83376365605153
1100708,-35.686695941847525,149.62008134892366
1100709,-35.271886792187914,149.73550940607603
1100710,-35.25637207538328,150.0090676450615
1100801,-35.37502419953907,149.23499908719435
1100802,-35.369121979294796,149.23539889298803
1100803,-35.36766667807749,149.2255152535556
1100804,-35.369112511046076,149.22990542392776
1100805,-35.37053293078764,149.22617841746538
1100806,-35.37230343859455,149.2259413233967
1100807,-35.36337481043417,149.21870650352383
1100808,-35.36678250849978,149.2211365623476
1100810,-35.37366186629484,149.22252044211305
1100811,-35.364310572672416,149.23644805608095
1100812,-35.37542298338107,149.24810051395008
1100813,-35.37530711238452,149.24346488167524
1100814,-35.37516824194689,149.2386194814017
1100815,-35.36298684238792,149.22267182070274
1100816,-35.36380423116857,149.2268624199107
1100817,-35.36333521957262,149.23192853843133
1100818,-35.365962579000275,149.23146813141256
1100819,-35.377477002361964,149.23113232191454
1100820,-35.37347733838305,149.2316655061433
1100821,-35.3753823447183,149.22792308885417
1100822,-35.3762451849997,149.22457367563058
1100823,-35.37018722535278,149.22114534569596
1100901,-35.35065353047697,149.2252739222293
1100902,-35.349828033098206,149.21975123260643
1100904,-35.35329743783459,149.21646571113942
1100905,-35.35463975179187,149.22045737840097
1100907,-35.346621619239,149.22207557141425
1100908,-35.34338814388828,149.22331025384912
1100909,-35.34275350635589,149.21952920384683
1100910,-35.34341972796725,149.21645216189953
1100911,-35.34598680219448,149.2173748539473
1100912,-35.350533391781475,149.22259612811
1100913,-35.36028918033508,149.2360389087233
1100914,-35.358273980039876,149.2311853304294
1100915,-35.35912106897503,149.22713872389858
1100916,-35.35896101365576,149.22289038915048
1100917,-35.35534891218577,149.2357658988333
1100918,-35.35478242930858,149.22584027301295
1100919,-35.35191079556464,149.22993383464848
1100920,-35.34768945289989,149.22853236891106
1100921,-35.347252200359414,149.22598482538834
1101001,-35.34581345352334,149.24647777196336
1101002,-35.367812870878886,149.24557887816877
1101003,-35.3594707623687,149.24686882910132
1101004,-35.35145101319724,149.24981174986897
1101006,-35.3523750500014,149.23978773078204
1101007,-35.35043864527911,149.2438870478379
1101008,-35.34703372289473,149.24118748785796
1101009,-35.346307282459236,149.25298706664174
1101010,-35.342866759519545,149.2424895029972
1101011,-35.33876373206219,149.2447563295537
1101012,-35.338444093313925,149.24121912570877
1101013,-35.368652388975384,149.25721445712918
1101014,-35.33886442294143,149.2608654355235
1101015,-35.35442764029549,149.24164805674695
1101101,-35.2646095525624,149.43929620002635
1101102,-35.195625505925,149.44534049376418
1101103,-35.30587170376514,149.49693548861083
1101104,-35.20436887187407,149.22685131230625
1101105,-35.36530645027955,149.3414951129593
1101106,-35.40450276637999,149.3661335004572
1101107,-35.43654025910963,149.4955521564695
1101108,-35.5872074043391,149.45042266531712
1101109,-35.595725996839626,149.21319264003
1101110,-35.63550006895921,149.1313100804107
1101111,-35.52776361526391,149.23251701428174
1101112,-35.1882790541302,149.6071655918355
1101113,-35.29819835743242,149.6087968479968
1101115,-35.47456441317306,149.16602023073787
1101116,-35.68409979246213,149.38976420815928
1101117,-35.49071993561461,149.3379198553349
1101118,-35.09773977006279,149.52594203916405
1101119,-35.35090463904171,149.289579476607
1101120,-35.436912013176176,149.20049648517286
1101122,-35.395882705818366,149.24119276392938
1101123,-35.512361914908944,149.16215303383575
1101125,-35.25629248831053,149.45021836796744
1101126,-35.2540144568426,149.44207896368897
1101127,-35.21752032429928,149.26057703201644
