SA4_CODE_2016,SA4_NAME_2016,GCCSA_CODE_2016,GCCSA_NAME_2016,STATE_CODE_2016,STATE_NAME_2016,AREA_ALBERS_SQKM
310,Ipswich,3GBRI,Greater Brisbane,3,Queensland,6681.1469
311,Logan - Beaudesert,3GBRI,Greater Brisbane,3,Queensland,2586.1453
312,Mackay - Isaac - Whitsunday,3RQLD,Rest of Qld,3,Queensland,90140.106
313,Moreton Bay - North,3GBRI,Greater Brisbane,3,Queensland,4344.4565
314,Moreton Bay - South,3GBRI,Greater Brisbane,3,Queensland,773.3949
315,Queensland - Outback,3RQLD,Rest of Qld,3,Queensland,1183182.7204
316,Sunshine Coast,3RQLD,Rest of Qld,3,Queensland,3085.9114
317,Toowoomba,3RQLD,Rest of Qld,3,Queensland,2258.7955
318,Townsville,3RQLD,Rest of Qld,3,Queensland,80036.0977
319,Wide Bay,3RQLD,Rest of Qld,3,Queensland,48502.5801
397,Migratory - Offshore - Shipping (Qld),39799,Migratory - Offshore - Shipping (Qld),3,Queensland,0
399,No usual address (Qld),39499,No usual address (Qld),3,Queensland,0
401,Adelaide - Central and Hills,4GADE,Greater Adelaide,4,South Australia,1497.2718
402,Adelaide - North,4GADE,Greater Adelaide,4,South Australia,939.9927
403,Adelaide - South,4GADE,Greater Adelaide,4,South Australia,663.0814
404,Adelaide - West,4GADE,Greater Adelaide,4,South Australia,159.49
405,Barossa - Yorke - Mid North,4RSAU,Rest of SA,4,South Australia,37716.3532
406,South Australia - Outback,4RSAU,Rest of SA,4,South Australia,877815.9801
407,South Australia - South East,4RSAU,Rest of SA,4,South Australia,65482.7388
497,Migratory - Offshore - Shipping (SA),49799,Migratory - Offshore - Shipping (SA),4,South Australia,0
499,No usual address (SA),49499,No usual address (SA),4,South Australia,0
501,Bunbury,5RWAU,Rest of WA,5,Western Australia,24802.4115
502,Mandurah,5GPER,Greater Perth,5,Western Australia,1032.8628
503,Perth - Inner,5GPER,Greater Perth,5,Western Australia,92.2398
504,Perth - North East,5GPER,Greater Perth,5,Western Australia,1762.4316
505,Perth - North West,5GPER,Greater Perth,5,Western Australia,883.9992
506,Perth - South East,5GPER,Greater Perth,5,Western Australia,2023.9923
507,Perth - South West,5GPER,Greater Perth,5,Western Australia,620.696
509,Western Australia - Wheat Belt,5RWAU,Rest of WA,5,Western Australia,197345.3766
510,Western Australia - Outback (North),5RWAU,Rest of WA,5,Western Australia,926049.6594
511,Western Australia - Outback (South),5RWAU,Rest of WA,5,Western Australia,1372032.5697
597,Migratory - Offshore - Shipping (WA),59799,Migratory - Offshore - Shipping (WA),5,Western Australia,0
599,No usual address (WA),59499,No usual address (WA),5,Western Australia,0
601,Hobart,6GHOB,Greater Hobart,6,Tasmania,1695.3585
602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,19975.336
603,South East,6RTAS,Rest of Tas.,6,Tasmania,23822.0167
604,West and North West,6RTAS,Rest of Tas.,6,Tasmania,22525.1495
697,Migratory - Offshore - Shipping (Tas.),69799,Migratory - Offshore - Shipping (Tas.),6,Tasmania,0
699,No usual address (Tas.),69499,No usual address (Tas.),6,Tasmania,0
701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,3163.9057
702,Northern Territory - Outback,7RNTE,Rest of NT,7,Northern Territory,1344930.4224
797,Migratory - Offshore - Shipping (NT),79799,Migratory - Offshore - Shipping (NT),7,Northern Territory,0
799,No usual address (NT),79499,No usual address (NT),7,Northern Territory,0
801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,2358.172
897,Migratory - Offshore - Shipping (ACT),89799,Migratory - Offshore - Shipping (ACT),8,Australian Capital Territory,0
899,No usual address (ACT),89499,No usual address (ACT),8,Australian Capital Territory,0
901,Other Territories,9OTER,Other Territories,9,Other Territories,256.3162
997,Migratory - Offshore - Shipping (OT),99799,Migratory - Offshore - Shipping (OT),9,Other Territories,0
999,No usual address (OT),99499,No usual address (OT),9,Other Territories,0
