,SA1_7DIGIT,Neighbour
318,1100923,1100927
319,1100923,1100907
320,1100923,1100911
321,1100923,1100902
322,1100923,1100904
323,1100923,1101208
324,1100924,1100917
325,1100924,1100920
326,1100924,1100929
327,1100924,1100919
328,1100924,1100926
329,1100925,1100921
330,1100925,1100928
331,1100925,1100920
332,1100925,1100907
333,1100925,1100908
334,1100926,1100917
335,1100926,1101006
336,1100926,1101008
337,1100926,1100929
338,1100926,1100924
339,1100927,1101217
340,1100927,1100911
341,1100927,1100910
342,1100927,1100923
343,1100927,1101208
344,1100928,1100925
345,1100928,1100920
346,1100928,1100929
347,1100928,1100908
348,1100929,1101008
349,1100929,1100928
350,1100929,1100920
351,1100929,1101011
352,1100929,1100919
353,1100929,1100924
354,1100929,1100926
355,1101001,1101007
356,1101001,1101009
357,1101001,1101008
358,1101001,1101011
359,1101002,1100802
360,1101002,1100811
361,1101002,1100814
362,1101002,1100813
363,1101002,1100812
364,1101002,1101003
365,1101002,1101013
366,1101003,1100917
367,1101003,1100913
368,1101003,1100811
369,1101003,1101017
370,1101003,1101016
371,1101003,1101002
372,1101003,1101006
373,1101003,1101015
374,1101003,1101013
375,1101004,1101007
376,1101004,1101017
377,1101004,1101016
378,1101004,1101009
379,1101006,1100917
380,1101006,1101007
381,1101006,1101017
382,1101006,1101003
383,1101006,1101015
384,1101006,1101008
385,1101006,1100926
386,1101007,1101017
387,1101007,1101004
388,1101007,1101009
389,1101007,1101006
390,1101007,1101015
391,1101007,1101008
392,1101007,1101001
393,1101008,1100917
394,1101008,1101007
395,1101008,1101009
396,1101008,1101006
397,1101008,1101010
398,1101008,1100929
399,1101008,1101011
400,1101008,1101001
401,1101008,1100926
402,1101009,1101007
403,1101009,1101017
404,1101009,1101004
405,1101009,1101016
406,1101009,1101014
407,1101009,1101008
408,1101009,1101011
409,1101009,1101001
410,1101009,1101013
411,1101010,1101008
412,1101010,1101011
413,1101011,1101009
414,1101011,1101014
415,1101011,1101010
416,1101011,1101008
417,1101011,1100929
418,1101011,1101012
419,1101011,1101001
420,1101012,1101011
421,1101013,1101122
422,1101013,1100812
423,1101013,1101128
424,1101013,1101119
425,1101013,1101016
426,1101013,1101002
427,1101013,1101003
428,1101013,1101009
429,1101013,1101014
430,1101013,1100809
431,1101014,1101119
432,1101014,1101009
433,1101014,1101011
434,1101014,1101013
435,1101015,1101007
436,1101015,1101017
437,1101015,1101003
438,1101015,1101006
439,1101016,1101017
440,1101016,1101004
441,1101016,1101003
442,1101016,1101009
443,1101016,1101013
444,1101017,1101007
445,1101017,1101004
446,1101017,1101016
447,1101017,1101003
448,1101017,1101009
449,1101017,1101006
450,1101017,1101015
