src_SA2_MAIN16,nbr_SA2_MAIN16
101021007,101041024
101021007,101021011
101021007,114011275
101021007,101051540
101021007,101041022
101021007,101031015
101021008,101021011
101021008,101021012
101021008,101021010
101021008,101021009
101021009,101021012
101021009,101021010
101021009,101021008
101021010,101021011
101021010,101021008
101021010,101021009
101021011,101021007
101021011,101021012
101021011,101051540
101021011,101031015
101021011,101061542
101021011,101021010
101021011,101021008
101021012,101021011
101021012,101021008
101021012,101021009
101031013,101041020
101031013,101031016
101031013,101041022
101031013,101031015
101031014,101031015
101031015,101021007
101031015,101021011
101031015,101031013
101031015,101031016
101031015,101041022
101031015,101031014
101031015,113021260
101031015,113021262
101031016,101031013
101031016,101031015
101031016,113021260
101041017,101041024
101041017,101041018
101041018,101041024
101041018,101041017
101041018,101041021
101041019,101041025
101041019,101041020
101041020,101041025
101041020,101041023
101041020,101041027
101041020,101031013
101041020,101041019
101041020,101041022
101041021,101041024
101041021,101041026
101041021,101041018
101041022,101041024
101041022,101021007
101041022,101041027
101041022,101041020
101041022,101031013
101041022,101031015
101041023,101041025
101041023,101041020
101041024,101041026
101041024,101021007
101041024,114011283
101041024,114011275
101041024,101041017
101041024,101041021
101041024,101041018
101041024,101041027
101041024,101041022
101041025,101041023
101041025,101041020
101041025,101041019
101041026,101041024
101041026,101041021
101041027,101041024
101041027,101041020
101041027,101041022
101051539,101051540
101051540,103011060
101051540,103011061
101051540,103021064
101051540,114021288
101051540,124021456
101051540,101021007
101051540,101021011
101051540,114011275
101051540,101051539
101051540,114021289
101051540,101061542
101051540,101061544
101061541,101061542
101061542,101021011
101061542,101051540
101061542,113021262
101061542,101061541
101061542,101061544
101061542,113031263
101061542,113031264
101061543,101061544
101061544,103021064
101061544,103021066
101061544,103021069
101061544,113031266
101061544,101051540
101061544,101061542
101061544,101061543
101061544,113031263
102011028,102011029
102011028,102011034
102011028,102011039
102011029,102011040
102011029,102011042
102011029,102011028
102011029,102011034
102011030,115021297
102011030,115021298
102011030,106011109
102011030,102011033
102011030,102011040
102011030,102011042
102011030,102011035
102011030,115031299
102011030,102011032
102011030,102011036
102011030,102021051
102011030,102021049
102011031,102011038
102011031,102011034
102011031,102011043
102011031,102011032
102011031,102011036
102011031,102011039
102011031,102021047
102011031,102011041
102011032,102011033
102011032,102011030
102011032,102011037
102011032,102011035
102011032,102011043
102011032,102011031
102011033,102011030
102011033,102011042
102011033,102011037
102011033,102011032
102011034,102011029
102011034,102011038
102011034,102011028
102011034,102011031
102011034,102011039
102011035,102011030
102011035,102011043
102011035,102011032
102011035,102011036
102011036,102011030
102011036,102011035
102011036,102011043
102011036,102011031
102011036,102021047
102011036,102021051
102011037,102011033
102011037,102011042
102011037,102011032
102011038,102011034
102011038,102011031
102011039,102011028
102011039,102011034
102011039,102011031
102011039,102011041
102011040,102011030
102011040,102011029
102011040,102011042
102011041,102011031
102011041,102011039
102011041,102021047
102011041,102021044
102011042,102011033
102011042,102011030
102011042,102011040
102011042,102011029
102011042,102011037
102011043,102011035
102011043,102011032
102011043,102011036
102011043,102011031
102021044,102021047
102021044,102011041
102021044,102021053
102021045,102021046
102021045,102021050
102021045,102021048
102021045,102021056
102021045,102021049
102021045,111021218
102021046,102021054
102021046,102021050
102021046,102021045
102021047,102011036
102021047,102011031
102021047,102011041
102021047,102021044
102021047,102021055
102021047,102021051
102021048,102021057
102021048,102021056
102021048,102021045
102021049,106011109
102021049,102011030
102021049,102021055
102021049,102021057
102021049,102021051
102021049,102021056
102021049,102021045
102021049,111021218
102021050,102021046
102021050,102021052
102021050,111011212
102021050,102021045
102021050,111021218
102021051,102011030
102021051,102011036
102021051,102021047
102021051,102021055
102021051,102021049
102021052,102021050
102021053,102021054
102021053,102021044
102021054,102021046
102021054,102021053
102021055,102021047
102021055,102021057
102021055,102021051
102021055,102021049
102021056,102021057
102021056,102021048
102021056,102021045
102021056,102021049
102021057,102021055
102021057,102021048
102021057,102021056
102021057,102021049
103011058,103011060
103011058,103011059
103011059,103011060
103011059,103011058
103011060,103031073
103011060,103031074
103011060,103041076
103011060,103011061
103011060,103011058
103011060,103011059
103011060,103031071
103011060,103021064
103011060,103041079
103011060,101051540
103011061,103011060
103011061,103031071
103011061,124011449
103011061,124021456
103011061,101051540
103021062,105031105
103021062,103021069
103021062,103021065
103021062,113011257
103021062,105011093
103021062,105011095
103021062,103021068
103021063,103021064
103021064,103041076
103021064,103011060
103021064,103041079
103021064,103021063
103021064,103021066
103021064,103021065
103021064,101051540
103021064,101061544
103021065,103021064
103021065,103041079
103021065,103021066
103021065,103021069
