src_SA2_MAIN16,nbr_SA2_MAIN16,LENGTH
101021007,101021011,136.42376845533326
101021007,101031015,25.970845590496868
101021007,101041022,71.46746102375273
101021007,101041024,36.826301873999476
101021007,101051540,58.282197050621996
101021007,114011275,106.21219276522129
101021008,101021009,2.273342823284251
101021008,101021010,5.3494571202861865
101021008,101021011,4.302804606868347
101021008,101021012,3.490672654625339
101021009,101021010,3.7543570490307885
101021009,101021012,2.9245640151667165
101021009,801031113,2.922873216905737
101021009,801031115,0.008566270657947
101021010,101021011,7.071585064212135
101021010,801031032,3.6367068089169194
101021010,801031115,1.2650081877553159
101021011,101021012,9.618084906365581
101021011,101031015,89.97721587403795
101021011,101051540,67.48494623837698
101021011,101061542,37.92390227309465
101021011,801031031,4.032312220743743
101021011,801031032,42.09990979535449
101021011,801031115,15.962069140719574
101021011,801041116,0.01712956875857
101021011,801071089,30.77501316910873
101021011,801111141,30.385067913853774
101021012,801031031,2.3317326043588578
101021012,801031113,3.103143590302442
101031013,101031015,88.22337269352276
101031013,101031016,155.94017919748484
101031013,101041020,144.20017319087003
101031013,101041022,7.252996848302243
101031013,205021085,111.89432353413154
101031014,101031015,60.562152517955205
101031015,101031016,210.23736961939136
101031015,101041022,126.29496050916228
101031015,113021260,31.014658489033906
101031015,113021262,86.32445419020729
101031015,801111141,78.3078835055534
101031016,113021260,130.52010455159152
101031016,205021080,6.070610942358495
101031016,205021085,20.505155433269895
101041017,101041018,3.710802400389802
101041017,101041024,59.12633580761624
101041018,101041021,2.7889866349343033
101041018,101041024,12.421571818072936
101041019,101041020,68.055016598121
101041019,101041025,3.844851939441689
101041020,101041022,267.94957890632617
101041020,101041023,37.10167454221099
101041020,101041025,53.898019812791254
101041020,101041027,59.59150868391828
101041020,205021085,74.02539611544678
101041021,101041024,19.078482240443552
101041021,101041026,6.094938401545668
101041022,101041024,171.3688403797527
101041022,101041027,27.075426773927045
101041023,101041025,11.852549365588482
101041024,101041026,58.72696126900015
101041024,101041027,20.180715371558613
101041024,114011275,28.509603872358166
101041024,114011283,51.74962857829932
101051539,101051540,49.141665988518284
101051540,101061542,133.140614001502
101051540,101061544,106.38775023894928
101051540,103011060,55.861997760337886
101051540,103011061,148.98193175765664
101051540,103021064,20.408053188033325
101051540,114011275,82.91689688892994
101051540,114021288,7.158834534312511
101051540,114021289,117.53045485306255
101051540,124021456,39.54000199880593
101061541,101061542,61.66137361693815
101061542,101061544,192.3959160137076
101061542,113021262,74.24496456112284
101061542,113031263,6.147582763032421
101061542,113031264,91.64267342963151
101061542,801011006,1.393326824210839
101061542,801011012,3.6527446364558416
101061542,801011112,5.853539706272098
101061542,801041043,2.0932349200455866
101061542,801041116,11.393879839763947
101061542,801041117,17.093063141161725
101061542,801111140,19.56697112730765
101061542,801111141,7.07744345700889
101061543,101061544,163.4911858104766
101061544,103021064,107.37438952019012
101061544,103021066,127.97503832238888
101061544,103021069,8.189332855281231
101061544,113031263,128.68650892603313
101061544,113031266,42.951206906677115
102011028,102011029,1.28758598105072
102011028,102011034,5.6764654831511665
102011028,102011039,7.113889947924324
102011029,102011034,6.825570724139809
102011029,102011040,0.010019312251604
102011029,102011042,0.029678047693657995
102011030,102011032,2.21823089273079
102011030,102011033,10.371444756057775
102011030,102011035,7.706385663188236
102011030,102011036,2.487903004252694
102011030,102011040,8.52825859572644
102011030,102011042,10.190388367025108
