,SA2_MAIN16,Neighbour0
318,103031073,106041129
319,103031073,103031075
320,103031073,103011060
321,103031073,103031071
322,103031074,103031072
323,103031074,103031073
324,103031074,105031099
325,103031074,106041129
326,103031074,103011060
327,103031074,103041079
328,103031074,105031106
329,103031074,105031103
330,103031075,103031073
331,103031075,106011113
332,103031075,106041127
333,103031075,103031070
334,103031075,124011451
335,103031075,115031299
336,103031075,103031071
337,103031075,124011449
338,103041076,103011060
339,103041076,103021064
340,103041076,103041079
341,103041077,103041078
342,103041077,103041079
343,103041078,103041077
344,103041078,103041079
345,103041079,103031074
346,103041079,103041076
347,103041079,103041078
348,103041079,103041077
349,103041079,103011060
350,103041079,103021064
351,103041079,105031106
352,103041079,105031103
353,103041079,103021065
354,103041079,103021068
355,104011080,104011081
356,104011081,104021091
357,104011081,104011082
358,104011081,110021194
359,104011081,110021190
360,104011081,112021245
361,104011081,104011080
362,104011081,104021086
363,104011081,110011187
364,104011081,104021087
365,104011082,112011241
366,104011082,104011081
367,104011082,112021245
368,104021083,104021089
369,104021083,104021090
370,104021083,104021086
371,104021083,110011187
372,104021083,108021156
373,104021083,108021159
374,104021083,104021087
375,104021084,104021088
376,104021084,104021085
377,104021084,104021086
378,104021085,104021089
379,104021085,104021086
380,104021085,104021084
381,104021086,104021088
382,104021086,104021091
383,104021086,104021089
384,104021086,104021085
385,104021086,104011081
386,104021086,104021084
387,104021086,104021083
388,104021086,104021087
389,104021087,104011081
390,104021087,104021086
391,104021087,110011187
392,104021087,104021083
393,104021088,104021091
394,104021088,104021086
395,104021088,104021084
396,104021089,104021085
397,104021089,104021090
398,104021089,104021086
399,104021089,104021083
400,104021090,104021089
401,104021090,104021083
402,104021090,108021159
403,104021091,104021088
404,104021091,104011081
405,104021091,104021086
406,105011092,105021098
407,105011092,105011093
408,105011092,105011095
409,105011092,105011096
410,105011093,113011257
411,105011093,105021098
412,105011093,105011092
413,105011093,103021062
414,105011093,105011095
415,105011094,105031099
416,105011094,110031198
417,105011094,105031105
418,105011094,105031104
419,105011094,105011095
420,105011094,105011096
421,105011095,105011094
422,105011095,105031105
423,105011095,105011093
424,105011095,105011092
425,105011095,103021062
426,105011095,105011096
427,105011096,110031196
428,105011096,110031198
429,105011096,105011094
430,105011096,105011092
431,105011096,105011095
432,105021097,105021098
433,105021098,109021177
434,105021098,109021179
435,105021098,113011257
436,105021098,105021097
437,105021098,105011093
438,105021098,105011092
439,105031099,103031074
440,105031099,110031198
441,105031099,110041200
442,105031099,106041129
443,105031099,110041201
444,105031099,105011094
445,105031099,105031104
446,105031099,105031103
447,105031100,105031101
448,105031100,105031102
449,105031100,105031103
450,105031101,105031100
451,105031101,105031102
452,105031101,105031103
453,105031102,105031101
454,105031102,105031100
455,105031102,105031103
456,105031103,103031074
457,105031103,105031099
458,105031103,103041079
459,105031103,105031106
460,105031103,105031101
461,105031103,105031100
462,105031103,105031102
463,105031103,105031105
464,105031103,105031104
465,105031103,103021068
466,105031104,105031099
467,105031104,105011094
468,105031104,105031105
469,105031104,105031103
470,105031105,105011094
