src_SA1_7DIG16,nbr_SA1_7DIG16
1101008,1101006
1101008,1101010
1101008,1100929
1101008,1101011
1101008,1101001
1101008,1100926
1101009,1101007
1101009,1101017
1101009,1101004
1101009,1101016
1101009,1101014
1101009,1101008
1101009,1101011
1101009,1101001
1101009,1101013
1101010,1101008
1101010,1101011
1101011,1101009
1101011,1101014
1101011,1101010
1101011,1101008
1101011,1100929
1101011,1101012
1101011,1101001
1101012,1101011
1101013,1101122
1101013,1100812
1101013,1101128
1101013,1101119
1101013,1101016
1101013,1101002
1101013,1101003
1101013,1101009
1101013,1101014
1101013,1100809
1101014,1101119
1101014,1101009
1101014,1101011
1101014,1101013
1101015,1101007
1101015,1101017
1101015,1101003
1101015,1101006
1101016,1101017
1101016,1101004
1101016,1101003
1101016,1101009
1101016,1101013
1101017,1101007
1101017,1101004
1101017,1101016
1101017,1101003
1101017,1101009
1101017,1101006
1101017,1101015
1101101,1101103
1101101,1101137
1101101,1101126
1101102,1101152
1101102,1101145
1101102,1101146
1101102,1101112
1101102,1101118
1101102,1101134
1101102,1101151
1101102,1101135
1101102,1101103
1101102,1101137
1101103,1101152
1101103,1101102
1101103,1101112
1101103,1101105
1101103,1101113
1101103,1101137
1101103,1101101
1101103,1101126
1101103,1101125
1101103,1101107
1101104,1154230
1101104,1101127
1101105,1101106
1101105,1101103
1101105,1101128
1101105,1101119
1101105,1101117
1101105,1101107
1101106,1101105
1101106,1101117
1101106,1101107
1101107,1100708
1101107,1101106
1101107,1101103
1101107,1101105
1101107,1101113
1101107,1101117
1101107,1101116
1101108,1101116
1101109,1101117
1101109,1101116
1101109,1101141
1101109,1101110
1101109,1101111
1101110,1101141
1101110,1101109
1101110,1101111
1101110,1101129
1101110,1101516
1101111,1101117
1101111,1101110
1101111,1101109
1101111,1101129
1101111,1101150
1101112,1101102
1101112,1101118
1101112,1100709
1101112,1101103
1101112,1101113
1101113,1101112
1101113,1100709
1101113,1100708
1101113,1101103
1101113,1101107
1101115,1101120
1101115,1101129
1101115,1101123
1101115,1101150
1101116,1100708
1101116,1101117
1101116,1101107
1101116,1101141
1101116,1101109
1101116,1101520
1101116,1101108
1101117,1101106
1101117,1101105
1101117,1101128
1101117,1101116
1101117,1101107
1101117,1101109
1101117,1101111
1101117,1101150
1101118,1101102
1101118,1154013
1101118,1101112
1101118,1154004
1101118,1101135
1101118,1100709
1101118,1100701
1101118,1154208
1101118,1154211
1101119,1101105
1101119,1101128
1101119,1101014
1101119,1101013
1101120,1101115
1101120,1101150
1101122,1101128
1101122,1101150
1101122,1100809
1101122,1101013
1101123,1101129
1101123,1101115
1101125,1101103
1101125,1101126
1101126,1101152
1101126,1101145
1101126,1101151
1101126,1101142
1101126,1101103
1101126,1101137
1101126,1101101
1101126,1101125
1101127,1101136
1101127,1154209
1101127,1154230
1101127,1101140
1101127,1101130
1101127,1101133
1101127,1101104
1101128,1101122
1101128,1101105
1101128,1101119
1101128,1101117
1101128,1101150
1101128,1100809
1101128,1101013
1101129,1101110
1101129,1101111
1101129,1101123
1101129,1101115
1101129,1101150
1101130,1101139
1101130,1101140
1101130,1101131
1101130,1101133
1101130,1101127
1101131,1101139
1101131,1101132
1101131,1101130
1101131,1101133
1101132,1101139
1101132,1101134
1101132,1101137
1101132,1101131
1101132,1101133
1101133,1101134
1101133,1101136
1101133,1101132
1101133,1101131
1101133,1101130
1101133,1101127
1101134,1101102
1101134,1101136
1101134,1101135
1101134,1101137
1101134,1101132
1101134,1101133
1101135,1101102
1101135,1101118
1101135,1101134
1101135,1101136
1101135,1154209
1101135,1154208
1101136,1101134
1101136,1101135
1101136,1154209
1101136,1154230
1101136,1101133
1101136,1101127
1101137,1101102
1101137,1101139
1101137,1101134
1101137,1101151
1101137,1101103
1101137,1101101
1101137,1101126
1101137,1101140
1101137,1101132
1101139,1101137
1101139,1101140
1101139,1101132
1101139,1101131
1101139,1101130
1101140,1101139
1101140,1101137
1101140,1101130
1101140,1101127
1101141,1101116
1101141,1101110
1101141,1101109
1101141,1101520
1101141,1101516
1101142,1101152
1101142,1101145
1101142,1101126
1101143,1101149
1101143,1101148
1101143,1101150
1101143,1101144
1101144,1101149
1101144,1101150
1101144,1101143
1101144,1101147
1101145,1101152
1101145,1101146
1101145,1101102
1101145,1101151
1101145,1101142
1101145,1101126
1101146,1101152
1101146,1101145
1101146,1101102
1101147,1101149
1101147,1101148
1101147,1101150
1101147,1101144
1101148,1101149
1101148,1101150
1101148,1101143
1101148,1101147
1101149,1101148
1101149,1101143
1101149,1101147
1101149,1101144
1101150,1101226
1101150,1101224
1101150,1101203
1101150,1101231
1101150,1101202
1101150,1101227
1101150,1101122
1101150,1101128
1101150,1101117
1101150,1101120
1101150,1101148
1101150,1101111
1101150,1101129
1101150,1101115
1101150,1101204
1101150,1101206
1101150,1101143
1101150,1101147
1101150,1101144
1101150,1100809
1101151,1101145
1101151,1101102
1101151,1101137
1101151,1101126
1101152,1101145
1101152,1101146
1101152,1101102
1101152,1101142
1101152,1101103
1101152,1101126
1101201,1101226
1101201,1101231
1101201,1101216
1101201,1101223
1101201,1101218
1101202,1101231
1101202,1101232
1101202,1101150
1101202,1101204
1101202,1101206
1101203,1101212
1101203,1101215
1101203,1101222
1101203,1101224
1101203,1101218
1101203,1101150
1101203,1100809
1101204,1101202
1101204,1101227
1101204,1101232
1101204,1101150
1101204,1101206
1101205,1101215
1101205,1101211
1101205,1101210
1101205,1101213
1101205,1101225
1101206,1101202
1101206,1101150
1101206,1101204
1101207,1101217
1101207,1101228
1101208,1101219
1101208,1101217
1101208,1101230
1101208,1100927
1101208,1100904
1101208,1100923
1101208,1101229
1101209,1100807
1101209,1101213
1101209,1101217
1101209,1101225
1101209,1101228
1101209,1101221
1101209,1101220
1101210,1101215
1101210,1101205
1101210,1101213
1101210,1101226
1101210,1101223
1101211,1101212
1101211,1101215
1101211,1101205
1101211,1101225
1101211,1100809
1101212,1101215
1101212,1101211
1101212,1101222
1101212,1101203
1101212,1100809
1101213,1101205
1101213,1101210
1101213,1101217
1101213,1101225
1101213,1101226
1101213,1101209
1101214,1101224
1101214,1101216
1101214,1101227
1101214,1101218
1101214,1101232
1101215,1101212
1101215,1101211
1101215,1101205
1101215,1101210
1101215,1101222
1101215,1101203
1101215,1101223
1101216,1101231
1101216,1101201
1101216,1101218
1101216,1101214
1101216,1101232
1101217,1101213
1101217,1101226
1101217,1101230
1101217,1100927
1101217,1101208
1101217,1101207
1101217,1101228
1101217,1101221
1101217,1101229
1101217,1101209
1101218,1101222
1101218,1101224
1101218,1101203
1101218,1101216
1101218,1101201
1101218,1101223
1101218,1101214
1101219,1100918
1101219,1100807
