SA4_CODE16,Neighbour
101,113
101,103
101,114
101,124
102,115
102,111
102,106
103,115
103,105
103,113
103,101
103,106
103,124
104,108
104,112
104,110
105,109
105,113
105,103
105,110
105,106
106,102
106,115
106,111
106,108
106,105
106,103
106,110
107,123
107,114
107,128
108,104
108,110
108,106
109,105
109,113
110,108
110,104
110,112
110,105
110,106
111,102
111,106
112,104
112,110
113,105
113,109
113,103
113,101
114,107
114,123
114,101
114,124
115,125
115,126
115,116
115,121
115,102
115,103
115,106
115,124
116,125
116,115
116,127
116,124
117,118
117,119
117,120
118,117
119,125
119,117
119,120
119,127
119,128
120,125
120,117
120,119
121,126
121,115
121,122
122,121
123,107
123,127
123,114
123,124
123,128
124,116
124,115
124,123
124,127
124,103
124,101
124,114
125,126
125,116
125,115
125,119
125,120
125,127
126,125
126,121
126,115
127,125
127,116
127,123
127,119
127,124
127,128
128,107
128,123
128,119
128,127
