SA3s,AREA_SKM,FEMALE,BORN_ELSEWHERE,NON_ENGLISH_LANGUGE,HIGH_SCHOOL_COMPLETE,AGE_UNDER_15,AGE_15_24,AGE_25_34,AGE_35_44,AGE_45_64,AGE_OVER_65,HIGH_SCHOOL_TOTAL,MEDIAN_AGE,MEDIAN_MORTGAGE_REPAY,MEDIAN_TOT_PRSNL_INC,MEDIAN_RENT,MEDIAN_TOT_FAM_INC,AVERAGE_NUM_PSNS_PER,MEDIAN_TOT_HHD,AVERAGE_HOUSEHOLD_SIZE,LEVERAGE_RATIO,MARRIED,DEFACTOR,NOT_MARRIED,AUSTRALIAN_TOTAL,AUSTRALIAN_ABORIGINAL_TOTAL,CHINESE_TOTAL,CROATIAN_TOTAL,DUTCH_TOTAL,ENGLISH_TOTAL,FILIPINO_TOTAL,FRENCH_TOTAL,GERMAN_TOTAL,GREEK_TOTAL,HUNGARIAN_TOTAL,INDIAN_TOTAL,IRISH_TOTAL,ITALIAN_TOTAL,KOREAN_TOTAL,LEBANESE_TOTAL,MACEDONIAN_TOTAL,MALTESE_TOTAL,MAORI_TOTAL,NEW_ZEALANDER_TOTAL,POLISH_TOTAL,RUSSIAN_TOTAL,SCOTTISH_TOTAL,SERBIAN_TOTAL,SOUTH_AFRICAN_TOTAL,SPANISH_TOTAL,SRI_LANKAN_TOTAL,TURKISH_TOTAL,VIETNAMESE_TOTAL,WELSH_TOTAL,OTHER_TOTAL,LOW_ENGLISH,CHRISTIANITY,ISLAM,HINDUISM,JUDAISM,BUDDHISM,OTHER_RELIGION,NO_RELIGION,FAMILY_COUPLE_CHILDREN_DEPENDENTS,ONE_PARENT_FAMILIES,Owned_outright_Total,Owned_with_a_mortgage_Total,Rented_Real_Estate_Agent_Total,HOUSING_PUBLIC_HOUSING,HOUSING_SHARE_HOUSE,HOUSING_CO_OPERATIVE,HOUSING_RENTAL,NO_INTERNET_TOTAL,LABOUR_FORCE,LABOUR_FORCE1,DIFF_ADDRESS_1YR,DIFF_ADDRESS_5YR,DIPLOMA_ABOVE,AGRICULTURE_TOTAL,MINING_TOTAL,MANUFACTURING_TOTAL,CONSTRUCTION_TOTAL,RETAIL_TOTAL,REAL_ESTATE_TOTAL,ADMIN_TOTAL,PUBLIC_ADMIN_TOTAL,EDUCATION_SECTOR_TOTAL,HEALTHCARE_TOTAL,WHITECOLLAR,BLUECOLLAR,NOT_USE_PUBLIC_TRANSPORT,2PP
10102,-0.0956214282736346,-0.9666562810416601,-0.35593877700817017,-0.3577859150105858,0.37174082977415274,0.3308354554270914,-0.03638275104862697,0.11318565347508558,0.4399067106385955,1.033248861604168,-0.9771496966906393,0.37174082977415274,-0.35874970390742245,0.325127494073513,1.3707580345945272,-0.4753368123567962,0.9293537481765543,-0.58622216128344,0.7928595953710529,-0.08049233437457404,-1.1259249925039123,0.18424606282656258,0.6379293620620928,-0.7190751440063945,0.3198369258015739,-0.17532538945473497,-0.5457068005971991,1.2980131465393039,1.0598403067468072,0.2643764795008998,-0.19260116682630407,0.008672860738307177,0.8354046895748442,-0.1866786024124804,0.616798755569536,-0.08626607968790158,0.698176843199085,0.25706561733394095,-0.3985004277046662,-0.414220813620547,1.9222662474069296,-0.26785044304121414,0.41450642094880225,0.15254387345586445,0.7057411352534135,-0.11783461151823311,0.4358581634124338,0.9923655675516088,-0.4338287299351814,-0.24070120342923298,-0.2665379057224531,-0.35967067073423786,-0.28144610625759786,0.2516179842059492,-0.26372728888503855,-0.34023160428306093,-0.1097732646830416,-0.2808074020107013,-0.19686091248983234,-0.19271649419446873,-0.443728204373423,0.39727241736023644,0.4936455847272647,0.5625622679687154,-0.7821433997779624,-0.8565506458716658,1.160998872042985,-0.1567162473728068,-0.2137549889902796,-0.1266750652179455,-0.36692962261606005,-0.18338186996071515,-0.4239375647369639,1.339658256235642,-1.188361508040139,0.20869454583968064,0.19700762641777683,0.639863612156567,-0.39705544391411673,-0.3839106656482377,-0.8776612676448626,0.6279018086289538,-1.0377710788321537,-0.21018897288615984,-0.682604793572101,6.696545380670479,-0.6373047004997852,-1.0295090328468373,0.3990278881827313,0.05028346071638574,1.1262257320971882,0
10103,0.2204774264009968,-2.4249238290146566,-0.6339618354155602,-0.6955339842466416,-0.3054281692852849,-0.6825376749406008,-0.4353537799422501,-0.4472573929608473,-0.4611132623147225,1.3407476212329785,0.4230212561473628,-0.3054281692852849,0.8520305467801278,-1.2016602565426235,-0.08351712156939721,-1.1011230710821451,-0.48258253902504783,-0.58622216128344,-0.7351073774066155,-1.0254023465978352,-1.1395788556535233,-0.24220017357594328,0.8674298833599259,-0.31417764990840114,0.6160329978190695,-0.5071915952159256,-0.5926022764711357,-0.5188207761227813,1.3096054567811066,0.5370141747205314,-0.5978365924304948,0.03392955163985278,1.5601447954937884,-0.491751781807824,0.2747358724658946,-0.5720353646121836,0.49839115221444297,-0.4273803322263508,-0.389217594265345,-0.3217359991540842,-0.3222160294555188,-0.569045749674646,-0.5352032973760937,0.4299174742773589,0.18222215017049553,0.1493842092280728,0.9022264836948061,-0.28749707814352365,-0.38956739226079723,-0.8938057040125146,-0.582685030616111,-0.3500213752592477,-0.33069624853286483,-0.01987866794956964,-0.5708810872500805,-0.613502147596243,-0.190437438833217,-0.4380131472155848,-0.5512999595945313,-0.18988683665902834,-0.40250209729111847,-0.40099220363804433,0.6325565069196643,-0.5657685220666779,-0.18491241207709286,0.783913668919635,-0.35322649814544604,-0.7394870076298701,-0.927634295832309,1.198516336104695,-0.292713848751487,-0.5021694901460269,0.6174678609421258,0.26341408311303477,-1.5282530410600943,-0.10287963472289217,-0.692521594198946,-0.6501941224143473,0.9366061373687022,-0.3329905297092888,-0.8898576378414345,-0.46633363464298017,-0.28712547492395557,0.9526288767978277,-0.12012470556026272,0.6897132644414912,-0.4605497108544483,-1.5647207789438875,-0.07297561814521583,0.8091776514802935,0.5056405842148907,0
10104,0.040773580687201924,0.3678083990417332,-0.6561340792330773,-0.7921640260641565,-0.6199154366556991,-1.3813159802220232,-1.752254981688504,-1.3580545109852995,-1.6941109907358851,2.195144901876289,2.1712444675488594,-0.6199154366556991,2.466404214363528,-1.0313646997431314,-0.8914477638826885,-0.8664532240601392,-1.0943594243647117,-1.423682391688354,-1.2030744702088927,-1.3403723506722545,1.0372859932260887,0.06592178991464065,0.8082497884950736,-0.6864159932436403,0.5955536043604248,0.2118931349141739,-0.6382756736906832,-0.34215447187738446,1.577741594190712,0.8995723322781748,-0.5298993522117436,0.01825718107130329,1.0273148097053935,-0.522564622364789,0.06399157912645777,-0.5795022997171017,0.7258616611969976,-0.6262814690478599,-0.45331176914173,-0.4447561648991734,-0.40138279375466,-0.4477164612259047,-0.5887683160953557,-0.5712520790119447,-0.19280345525732848,-0.3734856230991176,0.9495591240404437,-0.4949579612697378,-0.3868091912546773,-0.7760891353109108,-0.587773190688234,-0.42763249187195,-0.3152455643840056,0.5571154114824688,-0.7662784486309832,-0.9247895118799453,-0.3411415395295407,-0.48564558332635444,-0.5174889657112185,-0.18713091894622216,-0.4057806566543469,-0.334051879374026,1.0749969075437567,-1.8399953334431132,1.128304015676061,1.8320631362007265,-0.9960036743550673,-0.7771094368547545,-0.39861681245557495,0.5841581233950225,0.03712594852478231,-0.7278267689640863,0.5462400390596945,-1.8442307559187385,0.05790744636636358,-0.3710949077706017,-0.2852859876339544,-0.49484933951620774,0.11737183929288479,-0.3863928875531053,-0.02025195438635144,0.5496950217466089,1.8717403890396564,-0.250323159276483,0.23901485142453227,0.059158212622664,-0.3240119358706914,0.7681882684207934,-0.8403879583828288,-0.14253829439088989,0.5865932040018459,0
10105,0.009662465402924406,-1.2729988760483044,-0.8683890533008927,-0.7549023560608105,-0.838575374133737,-0.27324031695553924,-0.43316991719590237,-0.42364407458230835,-0.6490405009199717,0.7092334478975099,0.5943173447097803,-0.838575374133737,0.6502338383322027,-0.776900074640442,-0.3676858302451066,-0.8664532240601392,-0.5721108637089011,-0.58622216128344,-0.7307541951479896,-0.7104323425234149,0.03526346293825153,-0.01872988985579976,0.14362201799479368,-0.07550310995998008,0.7762442901110944,-0.3054788297715678,-0.6221380713638981,-0.7937751661377415,-0.26616687249753584,0.6784118680478021,-0.4220564479638777,-0.28902840947275715,-0.1760753887651608,-0.37915062373809594,-0.2894774618855536,-0.5094845680545946,0.974240254851613,-0.7591215305169352,-0.3501701817948447,-0.4203145877260691,-0.3763969481427088,-0.37725433587961726,-0.618743418932541,-0.9378168032773937,-0.7282721981361774,-0.580977175168418,0.48755197610351314,-0.5395644664274541,-0.5398704175089137,-0.8736001145600305,-0.5372024346745271,-0.4303357817219253,-0.34930324056219536,0.1501365021333409,-0.8265962575840025,-0.43667723672627073,1.0136222053525297,-0.4421755047509801,-0.4694712713801609,-0.21359059992006213,-0.5030348134527686,-0.4043043135479444,-0.6860173245818183,-0.7015424517969414,0.47669249691740023,0.5837432800123064,-0.16201949458574316,-0.49071074335731674,0.17822302007325022,0.16359941403150147,0.2393121541271329,-0.352960640117465,1.2117449698520688,-0.40923852508859415,-0.11203832014361381,-0.2759806662339675,-0.4010349326498644,-0.699828031380466,0.6395226544129757,-0.0022855773172878657,-0.2689635532542567,0.12611843477387463,0.14833849554821746,-0.5622885654462435,-0.5346853938137038,1.4374156318950218,-0.5042206842886806,0.7160419695167028,-0.5822744109940976,0.47953499530299093,0.7662692415357087,0
10106,0.13314823036096002,0.15153695715797347,-0.939506149394553,-0.7917711049326764,-0.4940348577186905,0.546266229954817,-0.5830818809627074,-0.9257235280342335,-0.3773469558697909,0.8390146487990325,0.46256812833141914,-0.4940348577186905,0.6502338383322027,-0.6927310063372447,-0.12252066981900438,-1.0620114299118109,-0.2997955427955141,-0.58622216128344,-0.4913291709235684,-0.3954623384489945,-0.45827087269541167,0.6307755162997503,0.30928788492720644,-1.0652024053476938,1.084070435852488,-0.37849546602630024,-0.6385052584334229,-0.1710746486835867,0.6117748049428635,0.7347440389132945,-0.5770362634718649,-0.27832348593344597,0.3009688002972771,-0.5618346768969502,-0.3013063641504408,-0.5757794177575846,1.158188007657266,-0.814982004800618,-0.4735935540877689,-0.2621765217491088,-0.3992947281621301,-0.4896753131103005,-0.8556285534244914,-0.973986945242758,-0.6051700877984564,-0.6136078310261847,0.5478406369386075,-0.22757274549784165,-0.5879258221996817,-1.129879300624166,-0.6068115658569939,-0.40349333538337595,-0.3327427275488945,-0.2156575023104053,-0.8703469692444846,-0.7475139908177502,1.04211794725731,-0.3212747007134073,-0.537983373731737,-0.19354687741884524,-0.6001522132347568,-0.43719394582968724,-0.46043778555415416,-0.2248802326341401,-0.41040723202442947,0.6293185032982497,0.4260997892915533,-1.0279056965062376,-0.8058524472665923,0.7636409843376514,-0.1158996470062015,-0.8833506046606752,0.7394859858054554,0.05414438278364026,-1.0750643303668206,-0.5046461153975705,-0.8167700376362776,-0.23640835186230927,1.6294640783434169,-0.26271546764072956,-0.9231244378921539,0.21638788084912117,-0.764350921557394,-0.8677350892996181,-1.1216980587315801,2.1050597669068676,-0.2702069524346322,-0.7414613632126114,0.05676944429798973,0.23808443874260288,0.5148744401377575,0
10201,-0.3202338153169107,0.9465620181610627,-0.3644692395308702,-0.6142435241655905,-0.13426116869702504,-0.3090604475742853,-0.4191795375163421,-0.6068817965004107,-0.38816505947150404,0.42026863549862614,0.796240689066071,-0.13426116869702504,0.6502338383322027,-0.02720814068405697,-0.28967873374589226,-0.0059971183127844755,-0.19907617752617923,-0.58622216128344,-0.39991234349242577,-0.3954623384489945,0.9424602251345532,-0.168653400733395,0.052060879334347006,0.19595612807054885,0.4920114975848905,-0.23701740270446597,-0.5023348129817139,-0.4160773498688969,0.784890881940549,0.948564225633605,-0.2962194564937178,0.3969876836639352,0.0449450845492335,-0.3135838533579371,-0.07363236369461695,-0.4203592224420031,0.9070879288974234,-0.34567472990758774,-0.2521491563131296,-0.3918940729503518,-0.40868952782646206,-0.1233907046364149,0.37829447200445626,1.1674866490279119,-0.09903415520911463,0.18363703081935126,0.7795380386464316,-0.38032363368900723,0.42289178649336673,-0.036630786480481396,-0.37990766562531597,-0.31178889217872,-0.3058396965994004,0.8840615900334791,-0.47152300106167466,-0.6603937522237017,0.24610351128968927,-0.4366324886350521,-0.44048147529729575,-0.14091973800619245,-0.3312074566773296,-0.42863683640347916,0.5255016770913803,-0.32139996618893574,0.3890364823166717,0.24730228548073382,0.19306557793599605,-0.15603972664490168,-0.21744641713072116,-0.6348860462550188,-0.3615678732083931,-0.4877415923958032,-0.13114457270112598,-0.24481233197264,0.05790744636636358,-0.2806593148620526,0.09417904093321718,-0.3374345775042297,-0.5407993173298762,-0.3451554101324962,-0.2122688193298137,0.7705400735901222,0.3488832181432184,0.35110855836716215,0.14732866243001824,-0.030648784556603498,-0.005161408019226576,1.322744938359466,-0.17728960836398577,-0.21338240613599407,-0.23200224381784487,0
10202,-0.3322632797577773,0.9318137983620198,-0.6822920315069052,-0.7238442430533164,-0.9055125051505776,0.11684098230533721,-0.012313011410551331,-0.470287373917201,-0.5451261345229249,-0.09892751028076785,0.6363949393378795,-0.9055125051505776,0.24664042143635267,-0.354097312931358,-0.6462826034565864,-0.1624436829941217,-0.6523133212381863,-0.58622216128344,-0.7046351015962345,-0.3954623384489945,1.121141721479585,-0.704610213920004,0.34551421026639745,0.6965740621635044,0.8471446539044535,-0.09545750873426893,-0.5851397862537315,-0.654943715486257,0.3120643703866322,0.9284241204608993,-0.3487968328909327,-0.02284087511814338,-0.1658937457016164,-0.4005692427768835,-0.2801559850515718,-0.474805211768754,0.49327324653939925,-0.3443054755331276,-0.41107577609672613,-0.3970694368036264,-0.4087554447312848,0.22394416900159267,1.050500682465694,0.7630379413322639,-0.49306971046380144,-0.3405307476627226,0.4294633141277533,-0.4146781515280707,-0.28796289779765943,-0.24893475206263052,-0.567238139117236,-0.3956946359941295,-0.31655799502148135,0.22988915036812518,-0.6898675181377755,-0.6552774112088556,0.6377119268105351,-0.4473534179184185,-0.48455865394334013,-0.1918577230434985,-0.462752192091569,-0.401816560398102,0.13886028593578723,-0.5798050751261921,1.302395343779982,0.03690535397533393,0.1976050159715458,0.020643241660090926,-0.2881965059064012,-0.3031475807354088,-0.17732216593879363,-0.21862950840454787,0.3550114412440758,-0.603560389680178,0.7376905124062747,-0.09557835330210816,0.24077024907703284,-0.9597832240310428,-0.5830291810289373,-0.22124165337932714,0.5970240406263655,1.38835150105713,1.4988522788523273,-0.004598063621062037,0.1407818071695259,-0.07193023784226364,-0.8230218146211384,0.804667635315185,-0.9344675082610835,0.5052613579254506,0.6146615433305621,0
10301,-0.07638469350707426,-0.9917214440084576,-0.9049273306664428,-0.7603323929133439,-0.4891013576351418,0.2587854113934076,1.2636243728807364,-0.2230059850544841,-0.6155839535486781,-0.2481393357272174,-0.03659668668423098,-0.4891013576351418,-0.35874970390742245,-0.5400522312756311,-0.2339593791035963,-0.710006659378802,-0.3389641848446999,-0.58622216128344,-0.4630334862425007,-0.3954623384489945,-0.14994699450172116,-0.3334432305441409,0.510715546674463,0.07502660787812347,0.7672679524203959,0.0837910808915892,-0.6004303819936836,-0.8567884838861968,0.5129727064744489,0.6548825956473491,-0.4797199114273212,-0.19999660280232087,0.00021038231113740466,-0.544638202324422,-0.572547828960789,-0.4875481888920364,1.3761930823949553,-0.6347014947062165,-0.44330489832443437,-0.36763116019498626,-0.4088092463316008,-0.44725053245682794,-0.13885253508289783,-0.34321971124403533,-0.6066978251307908,-0.5826270810810051,0.5169861923756387,-0.39837454768509895,-0.3811617322712089,-0.9315093850166234,-0.3790754396851841,-0.46463178757423246,-0.304162158119145,-0.16872827063384443,-0.7900139284029308,-0.6345101144863156,0.6685487272424006,-0.42175806497865787,-0.43274396473951493,-0.21791053716859968,-0.49285119634126223,-0.3417412972473689,-0.40758798981783584,-0.12301252183012475,0.18666765854013198,-0.026425764883017646,0.123166817784034,0.09442361766475102,-0.047658091704903975,0.02433117246055824,0.03703842636780903,0.0008189118129744408,0.46950076085482884,-0.15512531754575756,-0.055389731306954945,0.27658244873375415,0.20522289188844334,-0.4428161309069054,0.1601288916244139,-0.01633445715904029,1.2549774472907391,-0.12552476235121932,0.29807938088957464,-0.5618230766907415,-0.6024026138908749,0.7576470454619814,1.505326963786393,0.16813664735771724,-0.4190998328229566,0.41478119610290026,0.9477575688664689,0
10302,1.307077517488125,-0.27648523647670903,-1.1393757069975146,-0.8433713203164609,-1.177786733364013,0.3125696842179618,-0.4849918538240172,-0.7601698662787831,-1.1514128335548284,0.3262211388069096,1.0101020325387366,-1.177786733364013,0.8520305467801278,-1.5774849336173649,-0.7855809900623263,-1.4531278416151538,-0.9190331218588323,-1.423682391688354,-1.063772637932866,-0.7104323425234149,-1.2972258301608448,0.08808409920299191,0.1618051323167495,-0.23273870771120625,1.1999029709996476,0.37428626687843225,-0.646154488178355,-1.0250756278737228,-0.5514661965219455,0.6383210699246402,-0.5072350539785924,-0.7229499458148269,0.15117503530326945,-0.572352814668119,-0.8220846322150058,-0.5664169237902528,0.31071992892714845,-0.9610816985249409,-0.458696495285478,-0.43727752152297167,-0.4498679401186391,-0.5808848455417207,-0.765901541711088,-1.202750222804775,-1.124771945818391,-0.8900279208004379,0.1389587580782409,-0.5959214218674884,-0.5554628205519186,-1.0952021544196602,-0.6468493460900931,-0.4620353889577257,-0.33999201067287527,-0.8464048911850459,-1.0113820631685986,-0.5637321904507112,1.5855593141711346,-0.4841303689316163,-0.5138632827631956,-0.2318485212325659,-0.6216454622149238,-0.5782989521455828,-1.265843285081395,-0.7707028752530488,0.514160519569636,1.0985091392832262,-0.7248981071024001,-1.0366437986139894,-0.07505481905293412,1.4991158007407122,0.7533514659807646,-0.3814858417639568,1.7389234443570099,-0.8576735972230145,0.0012588575297043166,-1.0632362057254507,-1.3090904111747768,-1.0588740518915905,2.5795925889896063,0.873180406589183,-0.4057236542967672,-1.1181369566905144,-0.14772754300164936,-1.3023660239611878,-1.3919723273739897,-0.2341327760564741,0.17735487410473902,-0.3781064463071016,-0.35852455241203407,0.2532271960482001,0.49777167804386746,0
10303,0.29210603050267564,-1.1599972663175362,-0.9324647658023837,-0.8127240103033351,-1.1368281361242556,0.03520689107301639,-0.8136760810580665,-0.5359167700824583,-0.8169665371001665,0.7338850544800846,0.7384679114135493,-1.1368281361242556,0.8520305467801278,-0.776900074640442,-0.8635880865615406,-0.9055648652304736,-0.7884709816948797,-0.58622216128344,-1.0006514951827912,-0.7104323425234149,1.0114525917584898,-0.27185704063348876,0.5642943156069419,-0.04251183363846959,0.9624605433359018,-0.1368729571042594,-0.6368638039101958,-0.8622260747241726,0.047454622383970704,0.6046851527547181,-0.45096263508446854,-0.7113592694497922,0.08085860051440107,-0.4942351533892571,-0.4619718939581164,-0.5503653538122084,0.2037034408483285,-0.7176763005211104,-0.4491092569331146,-0.4396626916524109,-0.4185166642749753,-0.3819464448453978,-0.5488411532436281,-0.6961192584666729,-0.626858860737225,-0.781782448808369,0.41413412525321264,-0.48848257701240344,-0.5415170179882939,-0.8636466749494591,-0.5987258349681568,-0.4223327624859162,-0.30590054071661343,-0.06673421455528468,-0.9008695767167885,-0.6717304220684759,0.624055850319747,-0.4740637961953276,-0.5059630451453071,-0.21222559210110903,-0.5301481002424395,-0.46104518741449446,-0.42093179495527633,-0.5952588351905048,0.3981768086821727,0.9118692344777233,-0.40290735487020757,-0.4936376147754182,0.11958935211348978,0.0522189924922572,-0.6308814980924458,-0.44221546816408225,1.256225415338697,-1.1566303119792947,0.6243933347329562,-0.6724240600266946,-0.7957943815047657,-0.990810266613037,0.44561675215303903,3.5967443202023475,-0.5225496481087167,-0.4379517961538084,0.21124490239912902,-0.7021364335853432,-0.40754306990375155,0.09096343956631556,-0.6115021244702982,-0.6418624237129492,-0.9779602652386221,0.8415481423276961,0.6977437346115457,0
