SA1_2016,AREA_SKM,FEMALE,BORN_ELSEWHERE,NON_ENGLISH_LANGUGE,HIGH_SCHOOL_COMPLETE,AGE_UNDER_15,AGE_15_24,AGE_25_34,AGE_35_44,AGE_45_64,AGE_OVER_65,HIGH_SCHOOL_TOTAL,MEDIAN_AGE,MEDIAN_MORTGAGE_REPAY,MEDIAN_TOT_PRSNL_INC,MEDIAN_RENT,MEDIAN_TOT_FAM_INC,AVERAGE_NUM_PSNS_PER,MEDIAN_TOT_HHD,AVERAGE_HOUSEHOLD_SIZE,LEVERAGE_RATIO,MARRIED,DEFACTOR,NOT_MARRIED,AUSTRALIAN_TOTAL,AUSTRALIAN_ABORIGINAL_TOTAL,CHINESE_TOTAL,CROATIAN_TOTAL,DUTCH_TOTAL,ENGLISH_TOTAL,FILIPINO_TOTAL,FRENCH_TOTAL,GERMAN_TOTAL,GREEK_TOTAL,HUNGARIAN_TOTAL,INDIAN_TOTAL,IRISH_TOTAL,ITALIAN_TOTAL,KOREAN_TOTAL,LEBANESE_TOTAL,MACEDONIAN_TOTAL,MALTESE_TOTAL,MAORI_TOTAL,NEW_ZEALANDER_TOTAL,POLISH_TOTAL,RUSSIAN_TOTAL,SCOTTISH_TOTAL,SERBIAN_TOTAL,SOUTH_AFRICAN_TOTAL,SPANISH_TOTAL,SRI_LANKAN_TOTAL,TURKISH_TOTAL,VIETNAMESE_TOTAL,WELSH_TOTAL,OTHER_TOTAL,LOW_ENGLISH,CHRISTIANITY,ISLAM,HINDUISM,JUDAISM,BUDDHISM,OTHER_RELIGION,NO_RELIGION,FAMILY_COUPLE_CHILDREN_DEPENDENTS,ONE_PARENT_FAMILIES,Owned_outright_Total,Owned_with_a_mortgage_Total,Rented_Real_Estate_Agent_Total,HOUSING_PUBLIC_HOUSING,HOUSING_SHARE_HOUSE,HOUSING_CO_OPERATIVE,HOUSING_RENTAL,NO_INTERNET_TOTAL,LABOUR_FORCE,LABOUR_FORCE.1,DIFF_ADDRESS_1YR,DIFF_ADDRESS_5YR,DIPLOMA_ABOVE,AGRICULTURE_TOTAL,MINING_TOTAL,MANUFACTURING_TOTAL,CONSTRUCTION_TOTAL,RETAIL_TOTAL,REAL_ESTATE_TOTAL,ADMIN_TOTAL,PUBLIC_ADMIN_TOTAL,EDUCATION_SECTOR_TOTAL,HEALTHCARE_TOTAL,WHITECOLLAR,BLUECOLLAR,NOT_USE_PUBLIC_TRANSPORT,2PP
124011449,139.217,0.5165,0.1886,0.0624,0.4528,0.1581,0.0719,0.0822,0.1131,0.3266,0.2451,0.4528,50,1575,593,320,1383,0.7,1.074,2.1,0.3666,0.4152,0.1509,0.4339,0.3471,0.0029,0.0108,0.0016,0.0185,0.4451,0.0041,0.0095,0.0543,0.0079,0.0065,0.0031,0.1782,0.0176,0.0016,0.0032,0.0014,0.005,0.0036,0.0077,0.0074,0.0061,0.1293,0.0013,0.0022,0.0052,0.0014,0.0005,0.0018,0.0104,0.0838,0.0153,0.4188,0.0016,0.0014,0.0025,0.0223,0.0095,0.4283,0.2357,0.8048,0.4254,0.3155,0.1497,0.0119,0.0568,0.0021,0.2303,0.1298,0.522,0.056,0.1387,0.3733,0.147,0.0095,0.0204,0.0334,0.0768,0.0851,0.0208,0.0373,0.0673,0.1163,0.1428,0.1694,0.1149,0.6554,0
124011450,29.6935,0.507,0.1427,0.0509,0.4565,0.2021,0.1204,0.0985,0.1364,0.2794,0.1627,0.4565,41,2058,812,400,2224,0.8,1.965,2.8,0.2618,0.5616,0.0839,0.3545,0.4221,0.0027,0.0127,0.0047,0.0227,0.4558,0.0051,0.0063,0.0421,0.0077,0.0044,0.0055,0.1556,0.0234,0.0003,0.0034,0.0006,0.011,0.0016,0.0097,0.0118,0.0055,0.1196,0.0018,0.005,0.0046,0.0014,0.0006,0.0011,0.011,0.0689,0.0152,0.5985,0.0022,0.0015,0.0014,0.006,0.0038,0.3209,0.3449,0.4046,0.4038,0.4339,0.0909,0.0123,0.0324,0.0054,0.145,0.0779,0.656,0.039,0.0962,0.2892,0.1518,0.0055,0.0018,0.0547,0.0906,0.0761,0.0212,0.0253,0.0935,0.1652,0.1272,0.2243,0.1091,0.6894,0
124011452,40.8734,0.5232,0.2173,0.0973,0.4639,0.1428,0.1031,0.0892,0.1176,0.315,0.2322,0.4639,48,1560,568,310,1435,0.7,1.046,2.1,0.3728,0.3693,0.1342,0.4965,0.3203,0.0039,0.0216,0.0041,0.0177,0.4249,0.0064,0.0105,0.0554,0.01,0.0088,0.0076,0.1689,0.0282,0.0039,0.0048,0.0,0.0067,0.0025,0.0094,0.0123,0.0065,0.1265,0.0016,0.0027,0.0054,0.0019,0.0008,0.0076,0.0107,0.0866,0.0345,0.3924,0.0046,0.0078,0.0033,0.0289,0.0087,0.4367,0.2406,0.8986,0.3714,0.3018,0.1665,0.035,0.0612,0.0125,0.2842,0.1447,0.525,0.066,0.1438,0.3892,0.1432,0.0085,0.004,0.0313,0.0537,0.0841,0.013,0.043,0.0729,0.1174,0.1571,0.1666,0.1076,0.6608,0
124011453,46.8873,0.5195,0.1636,0.058,0.4278,0.1989,0.1131,0.0912,0.1316,0.3084,0.1562,0.4278,42,1733,669,350,1766,0.8,1.463,2.6,0.2961,0.4751,0.1201,0.4053,0.3964,0.0068,0.011,0.0056,0.0254,0.4539,0.0048,0.009,0.0515,0.0072,0.0068,0.0052,0.1655,0.0257,0.0016,0.0032,0.0008,0.0106,0.0031,0.0093,0.0107,0.006,0.1302,0.0014,0.002,0.0046,0.0004,0.0007,0.0013,0.0119,0.0717,0.0163,0.4867,0.0024,0.0025,0.0016,0.0131,0.0086,0.4007,0.3327,0.5566,0.357,0.4683,0.0968,0.0098,0.0373,0.0043,0.152,0.0987,0.624,0.05,0.0972,0.3002,0.1399,0.0084,0.0007,0.0552,0.0763,0.0812,0.0127,0.0258,0.0975,0.1481,0.1659,0.1808,0.1288,0.6813,0
124011454,69.6647,0.5202,0.1515,0.0473,0.4325,0.1938,0.1187,0.0917,0.1279,0.2827,0.185,0.4325,42,1950,750,370,2055,0.8,1.731,2.7,0.2816,0.5383,0.0984,0.3634,0.41,0.0021,0.0102,0.0046,0.0213,0.4547,0.0044,0.0067,0.0449,0.0086,0.005,0.0047,0.1603,0.0275,0.0008,0.0017,0.0001,0.0126,0.0014,0.0096,0.011,0.0038,0.1254,0.0012,0.0037,0.0055,0.0011,0.0004,0.0009,0.0113,0.0676,0.015,0.5915,0.0011,0.0012,0.0013,0.0078,0.0054,0.3233,0.3433,0.4364,0.384,0.4366,0.0924,0.0038,0.0367,0.0085,0.1454,0.0936,0.631,0.04,0.0992,0.2918,0.1378,0.0101,0.0019,0.0571,0.0929,0.0869,0.0142,0.0301,0.093,0.1579,0.1461,0.195,0.1209,0.725,0
124011455,21.0358,0.5242,0.1927,0.0681,0.4682,0.1652,0.0839,0.0759,0.1048,0.299,0.2716,0.4682,50,1733,631,370,1570,0.7,1.239,2.3,0.3497,0.4968,0.1191,0.3826,0.3499,0.0041,0.0142,0.0058,0.0174,0.445,0.0046,0.0095,0.0515,0.0109,0.0074,0.0058,0.1725,0.0275,0.0007,0.0031,0.0005,0.0064,0.0012,0.0087,0.0122,0.0054,0.1341,0.0005,0.0023,0.0056,0.0028,0.0005,0.002,0.0122,0.0769,0.0154,0.4826,0.003,0.0046,0.0053,0.0151,0.0053,0.396,0.2714,0.5154,0.456,0.3207,0.1212,0.0124,0.0456,0.0029,0.1929,0.1079,0.522,0.054,0.1213,0.3581,0.1598,0.006,0.0044,0.0343,0.0738,0.0917,0.0231,0.0295,0.0889,0.138,0.1555,0.1764,0.0961,0.6627,0
124031457,6.5871,0.5035,0.157,0.0876,0.2985,0.2097,0.128,0.1559,0.1392,0.2451,0.1226,0.2985,35,1845,726,380,1769,0.8,1.637,2.9,0.2818,0.4701,0.1226,0.4068,0.425,0.0092,0.0126,0.005,0.0153,0.3938,0.0135,0.0045,0.0407,0.0095,0.0042,0.0125,0.1141,0.029,0.0008,0.0094,0.0006,0.023,0.0111,0.0114,0.0121,0.0042,0.0848,0.0019,0.0031,0.0054,0.0019,0.0024,0.002,0.0072,0.0749,0.0387,0.6446,0.0102,0.0065,0.0,0.0074,0.005,0.2568,0.3096,0.6845,0.303,0.4431,0.161,0.0174,0.0442,0.0013,0.2279,0.1219,0.662,0.054,0.1059,0.2856,0.0482,0.0045,0.0019,0.0762,0.1244,0.1077,0.0167,0.0338,0.0764,0.0694,0.1051,0.098,0.1909,0.7661,0
124031458,71.5174,0.5083,0.1875,0.1451,0.3463,0.2362,0.1439,0.178,0.1444,0.2186,0.0794,0.3463,31,2167,813,420,2047,0.8,1.98,3.1,0.2736,0.5032,0.1185,0.3784,0.3893,0.0062,0.0215,0.0067,0.0158,0.3525,0.02,0.0046,0.0337,0.0111,0.0036,0.0326,0.1023,0.0371,0.0042,0.0065,0.0012,0.0613,0.0081,0.0102,0.0082,0.003,0.0707,0.0016,0.0035,0.0065,0.0051,0.0032,0.0012,0.0046,0.0844,0.0648,0.6306,0.0145,0.0219,0.0001,0.011,0.0081,0.2396,0.3911,0.4731,0.2012,0.492,0.1742,0.0536,0.039,0.0043,0.2816,0.0928,0.705,0.046,0.169,0.4214,0.0771,0.0114,0.0027,0.0775,0.1196,0.1093,0.0171,0.0338,0.0748,0.0737,0.1029,0.1375,0.1746,0.7504,0
124031459,13.794,0.5186,0.1556,0.0636,0.358,0.1989,0.1212,0.121,0.1463,0.2423,0.171,0.358,39,2167,772,400,2110,0.8,1.864,2.8,0.2906,0.5387,0.0895,0.3718,0.4098,0.0037,0.0109,0.0083,0.0213,0.4119,0.0087,0.0054,0.0423,0.0136,0.0041,0.0077,0.1442,0.0269,0.0014,0.0048,0.0037,0.0175,0.0032,0.0072,0.0117,0.0023,0.1037,0.0027,0.0044,0.0026,0.0019,0.0011,0.0008,0.0067,0.0633,0.0307,0.6831,0.0072,0.0034,0.0013,0.0058,0.0034,0.2265,0.3535,0.4497,0.3794,0.4244,0.108,0.0228,0.0301,0.0036,0.1689,0.1161,0.64,0.042,0.0951,0.2823,0.09,0.004,0.0026,0.0706,0.1161,0.0926,0.0137,0.0266,0.0906,0.1068,0.1128,0.1556,0.139,0.743,0
124031460,9.232999999999999,0.5141,0.1951,0.1406,0.3863,0.2386,0.1491,0.1377,0.1522,0.2468,0.0758,0.3863,33,2167,855,430,2244,0.8,2.155,3.2,0.2514,0.5413,0.0975,0.3611,0.3895,0.0038,0.0167,0.0105,0.0189,0.3571,0.0266,0.0046,0.0349,0.0111,0.0053,0.037,0.1014,0.0411,0.003,0.009,0.0019,0.0349,0.0052,0.0071,0.0083,0.0035,0.0779,0.0049,0.0065,0.0067,0.0041,0.002,0.0035,0.0055,0.0998,0.0367,0.6881,0.0136,0.0162,0.0003,0.0069,0.0151,0.2055,0.4274,0.3854,0.2305,0.5327,0.1649,0.0087,0.0333,0.002,0.2173,0.0606,0.749,0.039,0.1135,0.3332,0.087,0.0041,0.0011,0.0767,0.1017,0.1064,0.0162,0.0296,0.084,0.0847,0.1085,0.1609,0.1585,0.7642,0
