SA2_2016_CODE,SA2_NAME,Employed_persons_working,Average_commuting_distance,Median_commuting_distance,interquartile_range_distance,standard_deviation_distance
308031211,Lakes Creek,1114,8.29,5.34,6.33,10.54
308031212,Mount Morgan,383,10.31,2.12,8.39,18.18
308031213,Norman Gardens,1895,9.77,4.97,7.58,13.95
308031214,Park Avenue,2962,11.66,5.21,12.06,15.57
308031215,Parkhurst - Kawana,5290,13.22,6.87,13.92,16.66
308031216,Rockhampton - West,1124,10.49,6.7,10.31,14.68
308031217,Rockhampton City,9116,12.93,6.85,10.04,16.15
308031218,Rockhampton Region - East,815,15.39,12.19,16.43,19.57
308031219,Rockhampton Region - North,1024,33.54,12.94,44.88,47.11
308031220,Rockhampton Region - West,871,29.23,25.05,41.64,31.9
308031221,Shoalwater Bay,12,138.75,125,45,40.98
308031222,The Range - Allenstown,4582,11.6,7.29,9.64,16.87
308031223,Yeppoon,5215,9.83,4.79,8.27,15.85
308041528,Banana,4365,63.15,33.97,103.16,69.72
308041529,Biloela,2808,13.41,2.39,8.95,31.89
308051530,Agnes Water - Miriam Vale,1423,28.74,7.98,52.68,38.82
308051531,Boyne Island - Tannum Sands,2761,13.16,5.81,18.13,22.23
308051532,Callemondah,3142,19.2,9.03,15.46,28.3
308051533,Clinton - New Auckland,3022,11.87,4.89,12.78,21.44
308051534,Gladstone,6247,13.39,7.15,14.74,21.53
308051535,Gladstone Hinterland,3655,26.49,18.64,21.56,34.31
308051536,Kin Kora - Sun Valley,766,6.89,3.91,4.09,12.77
308051537,South Trees,399,19.05,10.15,10.4,31.46
308051538,Telina - Toolooa,865,10.75,5.93,9.36,19.28
308051539,West Gladstone,2762,11.74,5.7,11.23,20.77
309011224,Broadbeach Waters,4513,12.11,8.15,9.8,16.16
309011225,Burleigh Heads,10655,14.64,9.42,12.53,17.64
309011226,Burleigh Waters,4044,10.38,6.6,9.87,14.29
309011227,Mermaid Beach - Broadbeach,9265,11.66,7.88,9.98,16.89
309011228,Mermaid Waters,2257,8.36,4.98,9.77,13.42
309011229,Miami,2278,9.57,5.76,10.16,14.35
309021230,Coolangatta,3472,14.85,9.43,16.79,20.2
309021231,Currumbin - Tugun,6031,15.48,10.58,14.59,19.17
309021232,Currumbin Waters,2948,13.11,6.9,12.62,18.43
309021233,Elanora,2389,8.83,4.26,10.41,13.35
309021234,Palm Beach,3086,9.98,4.94,11.13,16.35
309031235,Arundel,4790,15.01,10.01,12.6,18.43
309031236,Biggera Waters,3883,12.19,8.67,11.77,13.89
309031237,Coombabah,1141,11.03,6.54,14.38,15.69
309031238,Labrador,3652,10.47,6.57,12.03,13.9
309031239,Paradise Point - Hollywell,1644,8.02,2.5,10.86,15.05
309031240,Runaway Bay,3163,11.01,5.74,10.69,17.88
309041241,Guanaba - Springbrook,752,16.78,7.38,26.95,23.67
309041242,Tamborine - Canungra,3661,17.32,8.87,25.52,22.24
309051243,Currumbin Valley - Tallebudgera,1463,10.34,6.77,14.47,13.6
309051244,Mudgeeraba - Bonogin,3762,11.19,6.57,13.17,18.15
309051245,Reedy Creek - Andrews,1293,10.95,5.43,12.19,21.37
309061246,Carrara,3977,15,10.7,12.46,18.79
309061247,Highland Park,1378,8.71,4.86,12,11.89
309061248,Nerang - Mount Nathan,9482,16.13,11.7,12.72,18.6
309061249,Pacific Pines - Gaven,2465,10.44,5.94,14.02,15.02
309061250,Worongary - Tallai,1226,8.38,3.27,11.29,16
309071251,Coomera,4484,18.54,14.46,19.54,17.89
309071252,Helensvale,7587,14.57,10.14,12.41,16.41
309071253,Hope Island,3706,17.09,10.54,17.46,24.81
309071254,Jacobs Well - Alberton,1184,20.46,14.98,29.17,23.27
309071255,Ormeau - Yatala,18237,26.39,24.24,24.38,20.68
309071256,Oxenford - Maudsland,4565,15.21,10.18,14.24,17.97
309071257,Pimpama,1616,18.62,14.22,22.42,17.87
309071258,Upper Coomera - Willow Vale,5370,12.65,8.29,16.48,15.44
309081259,Clear Island Waters,608,7.7,5.43,10.2,10.16
309081260,Merrimac,1494,11.37,9.04,10.96,13.03
309081261,Robina,14683,19.16,10.34,16.32,26.44
309081262,Varsity Lakes,6210,14.49,9.24,12.95,18.57
309091263,Ashmore,5158,12.98,8.69,11.91,16.4
309091264,Molendinar,6599,16.37,11.29,11.11,18.85
309091265,Parkwood,1299,9.58,5.37,11.72,16.16
309091540,Southport - North,23999,15.42,10.77,13.16,17.61
309091541,Southport - South,5762,11.63,7.92,11.35,14.86
309101267,Benowa,4155,11.37,8.32,10.8,13.51
309101268,Bundall,6781,13.79,9.82,11.43,16.18
309101269,Main Beach,2891,12.16,9.12,11.13,13.9
309101270,Surfers Paradise,11851,11.32,7.01,11.33,16.5
310011271,Darra - Sumner,8675,21.98,17.77,16.63,19.57
310011272,Durack,971,12.04,8.45,13.9,15.36
310011273,Forest Lake - Doolandella,3644,10.64,5.38,14.76,13.55
310011274,Inala - Richlands,6463,19.07,14.75,17.25,19.32
310011275,Oxley (Qld),3187,17.73,13.06,16.88,19.55
310011276,Wacol,10093,23.78,19.46,17.98,18.96
310021277,Boonah,3444,17.53,9.84,21.04,25.55
310021278,Esk,1290,23.22,13.89,31.33,30.99
310021279,Lake Manchester - England Creek,3,0,0,0,0
310021280,Lockyer Valley - East,3925,18.96,11.44,21.6,23.55
310021281,Lowood,2746,19.88,13.65,25.28,25.05
310021282,Rosewood,6654,27.64,21.45,26.41,26.78
310031283,Brassall,1464,12.54,6.88,14.69,16.88
310031284,Bundamba,3238,19.08,11.98,20.52,20.09
310031285,Churchill - Yamanto,2524,15.06,8.07,16.69,17.45
310031286,Ipswich - Central,11907,18.15,11.81,22.79,19.22
310031287,Ipswich - East,3832,13.68,7.09,14.69,18.92
310031288,Ipswich - North,616,14.09,8.23,19.69,18.17
310031289,Karalee - Barellan Point,700,11.08,4.8,14.73,15.92
310031290,Karana Downs,737,9.69,3.3,14.27,14.93
310031291,Leichhardt - One Mile,1783,20.28,13.36,23.06,19.73
310031292,North Ipswich - Tivoli,2847,14.45,7.57,14.97,17.3
310031293,Raceview,2144,12.57,6.37,13.98,16.16
310031294,Ripley,696,27.49,19.7,35.75,25.8
310031295,Riverview,2480,19.21,12.89,17.75,19.24
310041296,Bellbird Park - Brookwater,1984,14.57,7.39,19.02,19.25
310041297,Camira - Gailes,756,9.89,4.21,17.08,14.77
310041298,Carole Park,5046,22.43,18.07,16.04,18.77
310041299,Collingwood Park - Redbank,2799,20.07,13.73,19.26,21.26
