"SA1_2016","AREA_SKM","FEMALE","BORN_ELSEWHERE","NON_ENGLISH_LANGUGE","HIGH_SCHOOL_COMPLETE","AGE_UNDER_15","AGE_15_24","AGE_25_34","AGE_35_44","AGE_45_64","AGE_OVER_65","HIGH_SCHOOL_TOTAL","MEDIAN_AGE","MEDIAN_MORTGAGE_REPAY","MEDIAN_TOT_PRSNL_INC","MEDIAN_RENT","MEDIAN_TOT_FAM_INC","AVERAGE_NUM_PSNS_PER","MEDIAN_TOT_HHD","AVERAGE_HOUSEHOLD_SIZE","LEVERAGE_RATIO","MARRIED","DEFACTOR","NOT_MARRIED","AUSTRALIAN_TOTAL","AUSTRALIAN_ABORIGINAL_TOTAL","CHINESE_TOTAL","CROATIAN_TOTAL","DUTCH_TOTAL","ENGLISH_TOTAL","FILIPINO_TOTAL","FRENCH_TOTAL","GERMAN_TOTAL","GREEK_TOTAL","HUNGARIAN_TOTAL","INDIAN_TOTAL","IRISH_TOTAL","ITALIAN_TOTAL","KOREAN_TOTAL","LEBANESE_TOTAL","MACEDONIAN_TOTAL","MALTESE_TOTAL","MAORI_TOTAL","NEW_ZEALANDER_TOTAL","POLISH_TOTAL","RUSSIAN_TOTAL","SCOTTISH_TOTAL","SERBIAN_TOTAL","SOUTH_AFRICAN_TOTAL","SPANISH_TOTAL","SRI_LANKAN_TOTAL","TURKISH_TOTAL","VIETNAMESE_TOTAL","WELSH_TOTAL","OTHER_TOTAL","LOW_ENGLISH","CHRISTIANITY","ISLAM","HINDUISM","JUDAISM","BUDDHISM","OTHER_RELIGION","NO_RELIGION","FAMILY_COUPLE_CHILDREN_DEPENDENTS","ONE_PARENT_FAMILIES","Owned_outright_Total","Owned_with_a_mortgage_Total","Rented_Real_Estate_Agent_Total","HOUSING_PUBLIC_HOUSING","HOUSING_SHARE_HOUSE","HOUSING_CO_OPERATIVE","HOUSING_RENTAL","NO_INTERNET_TOTAL","LABOUR_FORCE","LABOUR_FORCE","DIFF_ADDRESS_1YR","DIFF_ADDRESS_5YR","DIPLOMA_ABOVE","AGRICULTURE_TOTAL","MINING_TOTAL","MANUFACTURING_TOTAL","CONSTRUCTION_TOTAL","RETAIL_TOTAL","REAL_ESTATE_TOTAL","ADMIN_TOTAL","PUBLIC_ADMIN_TOTAL","EDUCATION_SECTOR_TOTAL","HEALTHCARE_TOTAL","WHITECOLLAR","BLUECOLLAR","NOT_USE_PUBLIC_TRANSPORT"
"101041017","63.7074","0.5090","0.1413","0.0452","0.2716","0.1613","0.0831","0.0853","0.0948","0.2755","0.2999","0.2716","52","1452","503","260","1137","0.7","0.9060","2.2","0.4007","0.4680","0.1111","0.4211","0.4151","0.0101","0.0082","0.0061","0.0143","0.4103","0.0035","0.0061","0.0404","0.0101","0.0025","0.0039","0.1307","0.0226","0.0009","0.0026","0.0000","0.0043","0.0039","0.0070","0.0066","0.0031","0.1035","0.0016","0.0017","0.0026","0.0004","0.0012","0.0012","0.0070","0.0402","0.0258","0.5963","0.0023","0.0022","0.0005","0.0069","0.0040","0.2869","0.1995","0.9692","0.4180","0.2180","0.1584","0.0560","0.0730","0.0098","0.3139","0.2232","0.42800","0.08100","0.1414","0.3730","0.0551","0.0201","0.0000","0.0398","0.1146","0.1622","0.0181","0.0366","0.0748","0.0598","0.1299","0.0767","0.1139","0.8185"
"101041018","30.5948","0.5226","0.1504","0.0489","0.3175","0.1429","0.0852","0.0689","0.0943","0.2844","0.3248","0.3175","54","1517","521","280","1199","0.7","1.0000","2.2","0.3793","0.5037","0.1069","0.3907","0.3762","0.0087","0.0066","0.0110","0.0176","0.4379","0.0057","0.0087","0.0426","0.0054","0.0045","0.0025","0.1290","0.0252","0.0000","0.0011","0.0006","0.0062","0.0030","0.0059","0.0068","0.0022","0.1179","0.0012","0.0034","0.0031","0.0007","0.0005","0.0012","0.0091","0.0449","0.0263","0.6011","0.0008","0.0017","0.0004","0.0074","0.0045","0.2763","0.1825","0.9900","0.4668","0.2330","0.1681","0.0187","0.0658","0.0060","0.2692","0.1801","0.43700","0.08500","0.1494","0.3883","0.0718","0.0119","0.0028","0.0363","0.0905","0.1530","0.0213","0.0465","0.0713","0.0832","0.1534","0.0952","0.1019","0.8019"
"101041019","183.898","0.5141","0.0882","0.0314","0.3097","0.1854","0.1032","0.0899","0.1052","0.3005","0.2171","0.3097","46","1400","586","270","1345","0.8","1.0610","2.3","0.3299","0.4667","0.1355","0.3971","0.4374","0.0036","0.0061","0.0013","0.0184","0.4325","0.0073","0.0052","0.0516","0.0026","0.0026","0.0030","0.1297","0.0139","0.0000","0.0014","0.0000","0.0027","0.0024","0.0038","0.0054","0.0020","0.0992","0.0000","0.0012","0.0015","0.0004","0.0000","0.0011","0.0056","0.0425","0.0135","0.5258","0.0015","0.0024","0.0005","0.0100","0.0024","0.3536","0.2775","0.6220","0.3927","0.2884","0.1479","0.0451","0.0565","0.0127","0.2735","0.1902","0.53400","0.04900","0.1333","0.3231","0.0754","0.0365","0.0000","0.1190","0.0842","0.1144","0.0138","0.0296","0.0609","0.0828","0.1741","0.1178","0.1452","0.7966"
"101041020","4710.21","0.4958","0.1154","0.0213","0.3143","0.1662","0.0910","0.0678","0.0904","0.3886","0.1957","0.3143","50","1278","496","200","1208","0.8","0.9820","2.4","0.3254","0.4962","0.1551","0.3492","0.4357","0.0040","0.0041","0.0014","0.0225","0.4261","0.0022","0.0041","0.0548","0.0014","0.0031","0.0008","0.1257","0.0132","0.0000","0.0010","0.0006","0.0050","0.0023","0.0057","0.0043","0.0019","0.1136","0.0000","0.0034","0.0020","0.0003","0.0000","0.0003","0.0065","0.0382","0.0049","0.4692","0.0008","0.0013","0.0011","0.0117","0.0063","0.4002","0.2546","0.5086","0.4931","0.3352","0.0342","0.0024","0.0722","0.0027","0.1340","0.1838","0.53700","0.06000","0.0958","0.2701","0.0793","0.1588","0.0024","0.0766","0.0919","0.0938","0.0075","0.0270","0.0542","0.0739","0.1386","0.1450","0.1465","0.7328"
"101041021","24.2329","0.5120","0.1215","0.0286","0.3598","0.1513","0.0889","0.0651","0.1002","0.2928","0.3035","0.3598","53","1517","596","270","1366","0.7","1.0600","2.2","0.3578","0.5232","0.0910","0.3853","0.3924","0.0018","0.0027","0.0055","0.0222","0.4542","0.0021","0.0073","0.0496","0.0040","0.0024","0.0000","0.1546","0.0198","0.0000","0.0000","0.0009","0.0033","0.0030","0.0043","0.0052","0.0040","0.1257","0.0024","0.0030","0.0024","0.0000","0.0021","0.0009","0.0113","0.0405","0.0100","0.5260","0.0009","0.0000","0.0009","0.0091","0.0033","0.3528","0.2348","0.6786","0.4576","0.2615","0.1058","0.0000","0.0794","0.0047","0.2163","0.1525","0.46100","0.04400","0.1405","0.4034","0.0924","0.0105","0.0040","0.0178","0.1166","0.1158","0.0121","0.0405","0.0850","0.1053","0.1628","0.1257","0.1111","0.8202"
"101041022","2782","0.4000","0.0000","0.0000","0.3600","0.0000","0.0000","0.0000","0.1200","0.3200","0.6400","0.3600","65","0","537","0","1374","0.5","0.8490","1.4","0.0000","0.2941","0.1765","0.6471","0.3200","0.0000","0.0000","0.0000","0.0000","0.6400","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.2000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.1200","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","","0.2400","0.0000","0.0000","0.0000","0.0000","0.0000","0.3600","0.0000","","0.8000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.24000","0.00000","0.0000","0.1600","0.0000","0.3636","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.1200","0.0000","0.2727"
"101041023","94.8138","0.5100","0.1095","0.0314","0.2456","0.1552","0.0896","0.0833","0.0992","0.2892","0.2802","0.2456","51","1394","486","230","1134","0.7","0.8510","2.2","0.4095","0.4464","0.1211","0.4347","0.4269","0.0087","0.0075","0.0040","0.0143","0.4024","0.0056","0.0072","0.0466","0.0047","0.0028","0.0022","0.1073","0.0124","0.0016","0.0000","0.0009","0.0056","0.0047","0.0062","0.0022","0.0028","0.1091","0.0009","0.0012","0.0022","0.0000","0.0016","0.0000","0.0056","0.0420","0.0085","0.5553","0.0009","0.0016","0.0009","0.0059","0.0031","0.3178","0.2189","0.9353","0.4069","0.2073","0.1629","0.0818","0.0616","0.0078","0.3359","0.2595","0.45600","0.06900","0.1220","0.3231","0.0445","0.0729","0.0043","0.0755","0.0616","0.1285","0.0104","0.0469","0.0382","0.0660","0.1024","0.0706","0.1598","0.8012"
"101041024","1460.01","0.4923","0.1069","0.0230","0.3048","0.1442","0.1015","0.0636","0.0945","0.3666","0.2284","0.3048","51","1300","512","180","1234","0.8","1.0090","2.4","0.3221","0.4750","0.1532","0.3706","0.4341","0.0185","0.0051","0.0042","0.0197","0.4017","0.0009","0.0064","0.0470","0.0067","0.0033","0.0009","0.1330","0.0194","0.0000","0.0000","0.0000","0.0055","0.0027","0.0073","0.0039","0.0009","0.1206","0.0009","0.0009","0.0027","0.0009","0.0000","0.0000","0.0045","0.0436","0.0000","0.5111","0.0000","0.0024","0.0000","0.0088","0.0076","0.3587","0.2092","0.7238","0.4918","0.2944","0.0274","0.0094","0.0901","0.0039","0.1637","0.1762","0.53100","0.06500","0.1049","0.2779","0.0659","0.0866","0.0079","0.0415","0.1102","0.1087","0.0079","0.0408","0.0844","0.0722","0.1209","0.1242","0.1557","0.7561"
"101041025","97.3395","0.5218","0.1348","0.0345","0.3395","0.1383","0.0834","0.0704","0.0898","0.2996","0.3185","0.3395","54","1500","565","270","1273","0.7","1.0140","2.1","0.3698","0.5110","0.1199","0.3699","0.3981","0.0027","0.0071","0.0011","0.0201","0.4494","0.0043","0.0051","0.0459","0.0037","0.0028","0.0024","0.1261","0.0199","0.0008","0.0012","0.0003","0.0031","0.0016","0.0041","0.0058","0.0021","0.1167","0.0008","0.0032","0.0028","0.0003","0.0003","0.0007","0.0074","0.0461","0.0112","0.5578","0.0004","0.0014","0.0006","0.0098","0.0037","0.3287","0.2036","0.7133","0.4673","0.2539","0.1371","0.0094","0.0652","0.0060","0.2320","0.1641","0.47000","0.04600","0.1528","0.3853","0.0706","0.0276","0.0017","0.0605","0.0964","0.1306","0.0190","0.0354","0.0522","0.0693","0.1425","0.1120","0.1260","0.7836"
"101041026","165.412","0.5029","0.1283","0.0313","0.3264","0.1350","0.0846","0.0690","0.0915","0.3327","0.2875","0.3264","54","1353","502","250","1174","0.7","0.9120","2.2","0.3709","0.5048","0.1095","0.3865","0.4091","0.0088","0.0050","0.0039","0.0197","0.4371","0.0035","0.0063","0.0486","0.0023","0.0045","0.0038","0.1424","0.0137","0.0000","0.0015","0.0014","0.0038","0.0034","0.0080","0.0063","0.0034","0.1098","0.0011","0.0025","0.0034","0.0000","0.0000","0.0030","0.0088","0.0378","0.0196","0.5609","0.0005","0.0020","0.0005","0.0078","0.0036","0.3320","0.1841","0.8744","0.4848","0.2483","0.1015","0.0336","0.0736","0.0048","0.2267","0.2044","0.44700","0.06700","0.1153","0.3122","0.0757","0.0223","0.0028","0.0296","0.1103","0.1301","0.0143","0.0355","0.0929","0.0814","0.1597","0.1019","0.1204","0.8021"
