SA4_CODE_2016,SA4_NAME_2016,,SA4_2011,Sw_amt,Alow_ben_amt,ETP_txbl_amt,Grs_int_amt,Aust_govt_pnsn_allw_amt,Unfranked_Div_amt,Frk_Div_amt,Dividends_franking_cr_amt,Net_rent_amt,Gross_rent_amt,Other_rent_ded_amt,Rent_int_ded_amt,Rent_cap_wks_amt,Net_farm_management_amt,Net_PP_BI_amt,Net_NPP_BI_amt,Total_PP_BI_amt,Total_NPP_BI_amt,Total_PP_BE_amt,Total_NPP_BE_amt,Net_CG_amt,Tot_CY_CG_amt,Net_PT_PP_dsn,Net_PT_NPP_dsn,Taxed_othr_pnsn_amt,Untaxed_othr_pnsn_amt,Other_foreign_inc_amt,Other_inc_amt,Tot_inc_amt,WRE_car_amt,WRE_trvl_amt,WRE_uniform_amt,WRE_self_amt,WRE_other_amt,Div_Ded_amt,Intrst_Ded_amt,Gift_amt,Non_emp_spr_amt,Cost_tax_affairs_amt,Other_Ded_amt,Tot_ded_amt,PP_loss_claimed,NPP_loss_claimed,Rep_frng_ben_amt,Med_Exp_TO_amt,Asbl_forgn_source_incm_amt,Spouse_adjusted_taxable_inc,Net_fincl_invstmt_lss_amt,Rptbl_Empr_spr_cont_amt,Cr_PAYG_ITI_amt,TFN_amts_wheld_gr_intst_amt,TFN_amts_wheld_divs_amt,Hrs_to_prepare_BPI_cnt,Taxable_Income,Help_debt,MCS_Emplr_Contr,MCS_Prsnl_Contr,MCS_Othr_Contr,MCS_Ttl_Acnt_Bal
303,Brisbane - South,,Brisbane - South,45885.72679,640.675328,271.7129162,989.7878406,797.7542886,121.1162967,1793.933148,765.2938951,-508.641776,3351.937941,1688.06559,1918.150101,254.3640262,0,0.454086781,1602.582745,77.36200807,19398.91927,68.15035318,17717.99168,830.2863269,1816.822906,4.187436932,3830.329213,111.9550959,191.0797175,151.2638749,2029.274975,59508.77497,608.4182644,143.5353179,106.5,106.3839556,525.5398587,232.5794652,150.7840565,290.5282543,201.64556,124.6839051,168.413219,2659.011857,0,22.91120081,1103.787588,16.50454087,327.5958628,33432.05752,53.65968718,979.9437437,2030.575429,7.687184662,0.648335015,0.099142281,56909.87588,2950.35671,4891.539859,2018.868063,877.2373865,102332.0648
304,Brisbane - West,,Brisbane - West,53216.25391,830.7719727,765.6972656,1235.880859,844.1298828,88.51123047,2229.731445,955.3417969,-686.8125,3475.642578,1983.361328,1865.82666,313.2670898,0,-40.68066406,2565.491211,25.18017578,5999.841797,40.91113281,3228.208496,2349.384277,6447.391113,18.09375,6639.155273,312.7060547,682.0600586,229.737793,2891.771484,75127.2251,622.9018555,163.0668945,82.95751953,59.39746094,581.1000977,202.9233398,119.9663086,365.3959961,338.8007813,270.3164063,279.5961914,3086.422852,34.82470703,61.70019531,1271.037598,30.68554688,729.0693359,52151.86719,72.41015625,1330.324219,2296.239258,10.06982422,0.830078125,0.080566406,71982.42773,3373.052734,5717.55957,4475.92627,968.9038086,172007.8789
305,Brisbane Inner City,,Brisbane Inner City,57981.19989,845.1264991,488.9874358,1220.231296,597.21502,77.27755568,5165.443461,2213.329812,-703.1147915,4543.823815,2455.768704,2468.287264,322.8826385,0,-90.10850942,4629.290977,115.9029126,17249.1285,170.0119931,12409.9072,2005.4743,6024.669046,-175.1667619,7475.14763,111.2567105,369.7655625,152.2547116,2441.978584,84805.70674,690.8066819,221.022273,94.81467733,120.8652199,643.0916619,180.6090805,123.0950885,382.3183895,469.7921188,277.8655054,269.6039406,3473.884637,0.217018846,151.7210166,1916.600514,15.050257,656.089663,48395.46688,104.7415762,1141.365505,3128.924043,8.87178755,3.542832667,0.040833809,81310.3952,3887.138207,5881.552827,3504.611365,1093.789263,145852.6545
501,Bunbury,,Bunbury,46577.91844,544.1953532,356.1749644,794.0497866,883.0398293,57.39497392,1078.514936,461.1190138,-385.95211,2607.95211,1266.363679,1491.978663,235.5618777,101.7548601,-162.2840209,2368.148412,477.886202,6045.868658,571.0682788,3638.416785,445.0531057,1608.658132,55.35467046,5221.727833,80.63916548,290.4518729,36.07776197,2090.085823,60893.48886,454.7140825,140.9174964,135.3926031,89.73494547,478.5101944,48.82835467,42.49122807,169.2697961,397.5708867,227.8814604,166.6216216,2351.93267,40.21384542,99.20768137,900.9577999,8.816500711,618.6813656,36689.63063,95.81555239,820.23945,1533.953058,7.832622096,0.146514936,0.114746325,58527.79801,782.1773352,4776.673779,3700.985775,511.3731626,111687.0498
306,Cairns,,Cairns,37061.32862,448.3379182,146.1438662,803.394052,1078.112268,47.28736059,731.1747212,313.0282528,-192.104461,2426.081041,1315.974349,1143.943866,158.2672862,14.97472119,-178.794052,2134.784387,673.9063197,6271.992565,775.8873606,4081.99777,263.0356877,1443.589591,-123.7840149,3517.190706,140.0754647,278.669145,222.2078067,1557.994052,48263.08699,578.7959108,171.6977695,166.905948,72.57472119,533.5635688,37.1802974,27.14052045,127.4747212,260.5405204,139.9081784,110.4152416,2226.197398,36.60966543,53.63011152,1015.775836,10.26840149,524.5776952,26819.20149,18.26802974,699.8479554,978.1814126,3.156133829,0.027509294,0.016728625,46013.99182,1254.058364,3930.097026,2020.095911,421.4342007,85403.21822
101,Capital Region,,Capital Region,37904.14029,573.8421728,83.54234388,1174.576133,1073.70231,70.21214713,1625.958084,696.528657,-22.46321642,2803.012831,1346.254919,1309.017964,170.2031651,-43.25064157,-160.2566296,2140.316938,754.3528657,6948.754919,830.3071001,4710.960222,765.6591104,2139.01497,-49.0188195,3702.997861,271.1826347,1275.017964,23.32121471,2734.089393,53840.09795,464.716852,136.6030796,119.9918734,48.46321642,425.242515,64.63558597,45.11291702,134.4602224,327.185201,166.9375535,124.5153978,2057.864414,150.9213003,55.86655261,816.4375535,22.59837468,564.1026518,34110.60565,30.75962361,817.1976048,2059.616339,4.141573995,0.933276305,0.026946108,51597.33961,1138.897776,3735.325492,3545.231394,1149.483319,116440.799
102,Central Coast,,Central Coast,39789.00058,614.9216989,208.7148223,929.0023115,1207.01618,33.48194164,2679.204276,1148.112973,-63.22103438,2256.006645,1024.16267,1152.015025,143.0499856,0,33.32909564,1843.543773,88.73851488,6182.920543,52.09505923,4291.432245,659.6581913,2021.65588,72.22103438,2311.101705,283.8344409,443.6677261,24.41664259,1333.996244,53552.026,763.1138399,152.8451315,141.7532505,88.15342387,544.7841664,52.61629587,37.66108061,110.5102572,183.043629,132.3917943,114.6529905,2321.52586,9.125686218,32.15024559,1262.366368,11.04940769,139.113551,29234.93615,81.80439179,591.7581624,938.2311471,4.781854955,0.196186073,0.045651546,51213.59289,1549.780121,3918.686507,1670.356833,368.2360589,96079.59347
103,Central West,,Central West,40259.28693,385.5323266,227.1363851,1012.428504,1323.283624,164.2279377,2715.160925,1163.363851,-112.7682869,2388.204814,1131.590373,1210.224634,159.1580934,-223.2180274,-285.5172251,1361.210949,2110.078339,5273.493157,2200.472393,3890.470977,316.7163756,1975.683341,895.7630958,4695.460123,256.6474752,156.5549788,40.97829165,2507.209061,56859.45871,578.3496933,162.5724398,164.0231241,102.0934403,496.0722039,70.36385087,25.24445493,166.4200094,363.4459651,138.470033,131.2255781,2398.280793,223.6210477,36.86644644,897.2222747,9.697026899,46.96696555,32117.69655,27.51061822,735.2812647,2062.692308,5.696554979,0.492213308,0.016989146,54235.77301,1594.253893,4090.605946,2330.60925,411.2973101,107898.1052
104,Coffs Harbour - Grafton,,Coffs Harbour - Grafton,31491.01239,431.0874636,57.28425656,1005.520408,1491.210641,40.85495627,916.2120991,391.28207,46.77405248,2098.155977,979.2456268,957.5932945,114.5430029,3.290816327,-225.2827988,1409.698251,426.2696793,5939.98688,433.4139942,4435.815598,436.5750729,1206.861516,21.82142857,2763.209184,237.5663265,406.9890671,15.50510204,1698.951895,42639.56268,579.8498542,191.5998542,143.6982507,67.49854227,463.9825073,26.52405248,32.58017493,189.1333819,384.2376093,150.3666181,125.9395044,2355.41035,44.03790087,89.6122449,1318.232507,7.637755102,267.28207,26483.29446,39.77259475,494.6858601,738.8053936,2.396501458,0.264577259,0.035714286,40207.05394,1404.911808,3090.195335,3443.958455,364.8469388,102299.0933
307,Darling Downs - Maranoa,,Darling Downs - Maranoa,36829.03409,427.3728693,177.3487216,898.8238636,911.8664773,36.20099432,981.9261364,420.9517045,-166.0369318,2492.778409,1266.529119,1252.388494,139.8977273,-31.875,-1258.301136,899.1690341,2642.268466,4873.365057,3621.011364,3921.029119,912.2926136,5875.09375,-356.5525568,4683.513494,145.4176136,213.9765625,25.34446023,3253.255682,49003.72869,558.1257102,271.3409091,171.5909091,79.20241477,421.5049716,94.57670455,10.23792614,74.55255682,397.1441761,149.1306818,146.8984375,2374.305398,234.3849432,306.7613636,668.0838068,13.19815341,41.20880682,29500.4581,46.56463068,608.6285511,1113.759943,7.803267045,1.334517045,0.047585227,46464.41974,941.9410511,3826.34304,3846.362926,1187.75,95722.94318
