src_SA1_7DIG16,nbr_SA1_7DIG16,LENGTH,Distance
1101512,1126205,0.065406880839451,52.9514581817908
1102802,1102804,0.004516952715997,0.6813300020060261
1102802,1102805,0.009575314887915999,0.5011268647435441
1102802,1102808,0.002121459490101,0.7733335715636803
1102802,1102817,0.009227821450696,0.9010747224734414
1102802,1103407,0.00193589127552,1.7150247309623756
1102802,1103408,0.017716881841994,1.473779402256661
1102803,1102804,0.0012336753887209999,0.6586113970580524
1102803,1102807,0.003973723400423,1.0084549321881107
1102803,1102809,0.007818172260659999,0.7373271558137791
1102803,1103926,0.0014607138490490001,1.2174808326574327
1102804,1102802,0.004516952715997,0.6813300020060261
1102804,1102803,0.0012336753887209999,0.6586113970580523
1102804,1102805,0.001336460181927,0.5152432458782781
1102804,1102806,0.0034607708374240005,0.6278750408201944
1102804,1102808,0.0014212608360679995,0.6667928683684625
1102804,1102817,0.0034859717416209995,0.72566257795596
1102805,1102802,0.009575314887915999,0.5011268647435441
1102805,1102804,0.001336460181927,0.5152432458782781
1102805,1102808,0.0073359703805550005,0.27828455588257994
1102806,1102804,0.0034607708374240005,0.6278750408201944
1102806,1102808,0.004116973643602,0.4517366020361708
1102806,1102809,0.007359216803905,0.42783648764094867
1102806,1102818,0.00028471515869300004,0.6914217601837462
1102806,1103408,0.007619655048681,1.735165218529943
1102807,1102803,0.003973723400423,1.0084549321881107
1102807,1102809,0.00380997228862,0.6825483737259879
1102807,1102812,0.0042393809328879995,0.9728362557157385
1102807,1102816,0.008612830383818,1.1674477400899452
1102807,1102818,0.0070403524666140015,0.5169756226104993
1102808,1102802,0.002121459490101,0.7733335715636803
1102808,1102804,0.0014212608360679995,0.6667928683684625
1102808,1102805,0.0073359703805550005,0.27828455588257994
1102808,1102806,0.004116973643602,0.4517366020361708
1102808,1103408,0.0058251929222920005,1.3185280397602754
1102809,1102803,0.007818172260659999,0.7373271558137791
1102809,1102806,0.007359216803905,0.42783648764094867
1102809,1102807,0.00380997228862,0.6825483737259879
1102809,1102818,0.005020415202461,0.4784147314397399
1102810,1102811,0.006673942103051,0.3545663601145976
1102810,1102813,0.0049413556202499995,0.5381254574845297
1102810,1102913,0.010618026033528998,1.6772381672042127
1102810,1102918,0.00096151845584,0.5889761054537622
1102810,1103408,0.004204202434514999,2.0480652627586364
1102811,1102810,0.006673942103051,0.3545663601145976
1102811,1102812,0.0007564255110480001,0.6526641910949501
1102811,1102813,0.0034763593272879997,0.4060440706617351
1102811,1103408,0.00547891758833,2.072864983135095
1102812,1102807,0.0042393809328879995,0.9728362557157385
1102812,1102811,0.0007564255110480001,0.6526641910949501
1102812,1102813,0.005166207390825,0.628242090934899
1102812,1102814,0.006771008064019,0.46131375902816146
1102812,1102816,0.00177100498793,0.7352476564187744
1102812,1102818,0.0025857006876929996,0.6188768610679238
1102812,1103408,0.004107860888684999,2.471822013388223
1102813,1102810,0.0049413556202499995,0.5381254574845298
1102813,1102811,0.0034763593272879997,0.4060440706617351
1102813,1102812,0.005166207390825,0.628242090934899
1102813,1102814,0.002611245166294,0.6397011057332175
1102813,1102815,0.0050403093696739995,0.46326301031027634
1102814,1102812,0.006771008064019,0.46131375902816146
1102814,1102813,0.002611245166294,0.6397011057332175
1102814,1102815,0.006160203251896,0.44430024583934746
1102814,1102816,0.009276877171636999,0.35824672753040143
1102815,1102813,0.0050403093696739995,0.46326301031027634
1102815,1102814,0.006160203251896,0.44430024583934746
1102815,1102816,0.0049106810869540005,0.6933743708634039
1102816,1102807,0.008612830383818,1.1674477400899452
1102816,1102812,0.00177100498793,0.7352476564187743
1102816,1102814,0.009276877171636999,0.35824672753040143
1102816,1102815,0.0049106810869540005,0.6933743708634039
1102817,1102802,0.009227821450696,0.9010747224734414
1102817,1102804,0.0034859717416209995,0.72566257795596
1102818,1102806,0.00028471515869300004,0.6914217601837462
1102818,1102807,0.0070403524666140015,0.5169756226104993
1102818,1102809,0.005020415202461,0.4784147314397399
1102818,1102812,0.0025857006876929996,0.6188768610679238
1102818,1103408,0.004161100465658,2.345120216591886
1102901,1102910,0.009548185597036,1.2388626588017304
1102901,1102911,0.01155201320506,1.0566776757444607
1102901,1102912,0.017933025793326,0.7559308232181408
1102902,1102913,0.011032305262241,1.271455209749742
1102902,1102917,0.002068623499768,0.610923167458737
1102903,1102904,0.005503835202432,0.5329310053267885
1102903,1102905,0.002082835328621,0.7113872188484041
1102903,1102910,0.0030971338438090003,1.4479770241981325
1102903,1102925,0.002660170515444,0.8081435180375219
1102904,1102903,0.005503835202432,0.5329310053267885
1102904,1102905,0.007903026278324,0.32763608471525163
1102904,1102925,0.0047948447711529995,0.42717738932651184
1102905,1102903,0.002082835328621,0.7113872188484041
1102905,1102904,0.007903026278324,0.32763608471525163
1102905,1102910,0.009287292826649,1.7722560218187442
1102905,1102919,0.012981740439557,0.24159137248350696
1102905,1102925,0.0038360293992729996,0.7023567406188198
1102906,1102927,0.004684250179785,1.076135398788518
1102907,1102908,0.001281385782098,0.47364328975198466
1102908,1102907,0.001281385782098,0.47364328975198466
1102908,1102909,0.0021115526334920002,0.3883894665494616
1102909,1102908,0.0021115526334920002,0.3883894665494616
1102909,1102926,0.000290763078992,1.2299946318343367
1102910,1102901,0.009548185597036,1.2388626588017304
1102910,1102903,0.0030971338438090003,1.4479770241981325
1102910,1102905,0.009287292826649,1.7722560218187442
1102910,1102911,0.008511913970295,1.6690595100880696
1102910,1102919,0.0028499627817459997,1.8182310911018904
1102910,1102922,0.016008447218951,1.4320588691383014
1102910,1102923,0.0032130693170809997,1.3890921313744082
1102910,1102926,0.010478060989737,1.6252559180636696
1102911,1102901,0.01155201320506,1.0566776757444607
1102911,1102910,0.008511913970295,1.6690595100880696
1102911,1102912,0.015207292135063999,1.1562994246542067
1102911,1102926,0.011168527011731,1.7080403548194665
1102911,1102927,0.008095937197873,1.359232684103742
1102912,1102901,0.017933025793326,0.7559308232181408
1102912,1102911,0.015207292135063999,1.1562994246542067
1102913,1102810,0.010618026033528998,1.6772381672042127
1102913,1102902,0.011032305262241,1.271455209749742
1102913,1102914,0.04811228150393,1.221538441749483
1102913,1102917,0.001997656264641,1.282540875648947
1102913,1102918,0.016664609505801998,1.2802857398355851
1102913,1103408,0.042243860915580994,1.7852006019825948
1102914,1102913,0.04811228150393,1.221538441749483
1102914,1102922,0.016580153775459,1.226548699510489
1102914,1102923,0.0020400828812079997,1.2730474578069564
1102914,1102924,0.015316560768157,1.202146763694267
1102914,1102928,0.010164630804593,1.9040580521528168
1102914,1103408,0.006634072620593999,2.1649844354232863
