,SA3s,AREA_SKM,FEMALE,BORN_ELSEWHERE,NON_ENGLISH_LANGUGE,HIGH_SCHOOL_COMPLETE,AGE_UNDER_15,AGE_15_24,AGE_25_34,AGE_35_44,AGE_45_64,AGE_OVER_65,HIGH_SCHOOL_TOTAL,MEDIAN_AGE,MEDIAN_MORTGAGE_REPAY,MEDIAN_TOT_PRSNL_INC,MEDIAN_RENT,MEDIAN_TOT_FAM_INC,AVERAGE_NUM_PSNS_PER,MEDIAN_TOT_HHD,AVERAGE_HOUSEHOLD_SIZE,LEVERAGE_RATIO,MARRIED,DEFACTOR,NOT_MARRIED,AUSTRALIAN_TOTAL,AUSTRALIAN_ABORIGINAL_TOTAL,CHINESE_TOTAL,CROATIAN_TOTAL,DUTCH_TOTAL,ENGLISH_TOTAL,FILIPINO_TOTAL,FRENCH_TOTAL,GERMAN_TOTAL,GREEK_TOTAL,HUNGARIAN_TOTAL,INDIAN_TOTAL,IRISH_TOTAL,ITALIAN_TOTAL,KOREAN_TOTAL,LEBANESE_TOTAL,MACEDONIAN_TOTAL,MALTESE_TOTAL,MAORI_TOTAL,NEW_ZEALANDER_TOTAL,POLISH_TOTAL,RUSSIAN_TOTAL,SCOTTISH_TOTAL,SERBIAN_TOTAL,SOUTH_AFRICAN_TOTAL,SPANISH_TOTAL,SRI_LANKAN_TOTAL,TURKISH_TOTAL,VIETNAMESE_TOTAL,WELSH_TOTAL,OTHER_TOTAL,LOW_ENGLISH,CHRISTIANITY,ISLAM,HINDUISM,JUDAISM,BUDDHISM,OTHER_RELIGION,NO_RELIGION,FAMILY_COUPLE_CHILDREN_DEPENDENTS,ONE_PARENT_FAMILIES,Owned_outright_Total,Owned_with_a_mortgage_Total,Rented_Real_Estate_Agent_Total,HOUSING_PUBLIC_HOUSING,HOUSING_SHARE_HOUSE,HOUSING_CO_OPERATIVE,HOUSING_RENTAL,NO_INTERNET_TOTAL,LABOUR_FORCE,LABOUR_FORCE1,DIFF_ADDRESS_1YR,DIFF_ADDRESS_5YR,DIPLOMA_ABOVE,AGRICULTURE_TOTAL,MINING_TOTAL,MANUFACTURING_TOTAL,CONSTRUCTION_TOTAL,RETAIL_TOTAL,REAL_ESTATE_TOTAL,ADMIN_TOTAL,PUBLIC_ADMIN_TOTAL,EDUCATION_SECTOR_TOTAL,HEALTHCARE_TOTAL,WHITECOLLAR,BLUECOLLAR,NOT_USE_PUBLIC_TRANSPORT
282,50401.0,44.6692,0.5034496475765449,0.37242519548002934,0.2599853312283232,0.4799796128936017,0.1621023581915145,0.11304899121116815,0.17667168056885,0.14810486928632696,0.24375023308429572,0.15639645463247268,0.4799796128936017,38.0,1999.0,728.0,350.0,1875.0,0.8,1.507,2.4,0.3316191108161911,0.45121164502522537,0.11456455214622446,0.4342734265155901,0.25159429658267346,0.0025856817871039123,0.06210608754024589,0.009746031351391668,0.017565232524893403,0.31583854406225526,0.015775145133821465,0.00735924816329575,0.027559887125045063,0.010964285270315626,0.0029586166602438993,0.0411968723195306,0.09590641820916673,0.08364929204529915,0.003356413858259886,0.0017527939037579403,0.005494573797595813,0.003381276183135885,0.009149335554367689,0.010554056909861642,0.01415909401688152,0.0034310008328878832,0.07794338848625736,0.0076824583866837385,0.006551222604825777,0.004636823589373842,0.004798428701067837,0.0011809604316099598,0.031015750282808945,0.007421403975485748,0.1378864537622913,0.09593110584465436,0.4905088074785873,0.026242183906617107,0.022525266337655236,0.006526360279949778,0.03470780552689482,0.01090212945812563,0.31603744266126327,0.30863100804189264,0.5268538049651144,0.29750523096732656,0.3602446483180428,0.1593111218413005,0.03689039111540319,0.09554160630935137,0.004957347497183325,0.3097054563013037,0.1422501207146306,0.642,0.078,0.1575110484368508,0.3911335507346738,0.11167657550535078,0.00403488546940003,0.04235376672848479,0.054483484537115934,0.08896797153024912,0.08914340133326651,0.016966568091824973,0.034684978196581624,0.07951982356774097,0.08390556864317578,0.12059545887424189,0.17389953134517608,0.14612831445868504,0.728309357926921
283,50402.0,685.4312,0.4802055576703464,0.24186334221545489,0.06437952036543586,0.3699800152264941,0.17593738104301485,0.12235915492957747,0.11334221545489151,0.12802150742291588,0.29344309097830223,0.1672059383326989,0.3699800152264941,42.0,1950.0,682.0,350.0,1896.0,0.8,1.59,2.6,0.30660377358490565,0.5127236851058039,0.11288017962849561,0.3744981969109342,0.35615721355157975,0.00299771602588504,0.00899314807765512,0.008112866387514276,0.02450513894175866,0.45125142748382185,0.009064522268747622,0.006637799771602589,0.03599638370765131,0.0043300342596117244,0.002260182717929197,0.009492767415302627,0.09642653216596879,0.045013323182337264,0.00038066235249333843,0.0006661591168633422,0.0008564902931100114,0.0015702322040350208,0.006851922344880091,0.01375142748382185,0.010682337266844309,0.0024743052912067,0.10323087171678721,0.0010944042634183479,0.006637799771602589,0.0027122192615150363,0.0007613247049866769,0.00019033117624666921,0.0013323182337266844,0.011134373810430148,0.05969261515036163,0.01898485146566988,0.4780881233346022,0.0022363913208983633,0.0031404644080700417,0.0007613247049866769,0.00951655881233346,0.005709935287400076,0.3683384088313666,0.3094170403587444,0.5117939168218498,0.3578653644925009,0.46982908964073944,0.05908615277293338,0.021625392396232995,0.05280781304499477,0.004394837809557029,0.14705266829438438,0.11552145099407046,0.59,0.073,0.10214563433014928,0.3020928334853358,0.07507883509552958,0.008920559514383742,0.05954077593032463,0.0611243072050673,0.09897070467141726,0.09675376088677752,0.01689100026392188,0.02992874109263658,0.07875428873053576,0.09923462655054104,0.10936922670889417,0.1387038446897602,0.1530738484963837,0.7616257587754025
284,50403.0,1032.3312,0.5036253306363778,0.3310409211140501,0.20915668274467092,0.38221565271510816,0.21803329702816243,0.13798039520771743,0.15872880037342463,0.1455266843006068,0.23993309475649605,0.09981328769254706,0.38221565271510816,34.0,2000.0,721.0,355.0,1826.0,0.8,1.643,2.8,0.30432136335970783,0.48390337560278623,0.11997678156813717,0.39616449365958206,0.30456667185311964,0.004652248327368913,0.02806130387428038,0.010852652870701727,0.017224210362533063,0.3555546911467248,0.02242881593278357,0.0056013692235879885,0.026793216119495877,0.005663606659405632,0.0023883615995021006,0.041831336548934187,0.07774233701571495,0.05087910378092422,0.0011591722421036253,0.001299206472693325,0.004014314610238059,0.0028784814065660495,0.01592500388983974,0.01608059747938385,0.010043566205072352,0.0016648514081219854,0.07858254239925315,0.003944297494943208,0.010720398319589233,0.0051968258907733,0.003882060059125564,0.0007001711529484986,0.02223432394585343,0.0069394740936673405,0.13785592033608216,0.07163000564015792,0.4977983507079508,0.031079819511436128,0.02192313676676521,0.0013147658316477362,0.02765676054146569,0.014073440174264821,0.30922669985996576,0.37489464353183943,0.4791336942940441,0.21616152108433734,0.5422628012048193,0.11008094879518072,0.029791039156626505,0.06254706325301204,0.0028237951807228916,0.21672628012048192,0.10492752259036145,0.6629999999999999,0.08199999999999999,0.1577779182003444,0.4122051784332001,0.06132906043104663,0.010713117435394177,0.05068694798822375,0.07036310107948969,0.10013084723585214,0.108717697088649,0.01579980372914622,0.0342165521753353,0.06694471704285247,0.06882564605822702,0.1109257441936539,0.11485140812198537,0.17869145791193403,0.7812397775596991
285,50501.0,100.4725,0.5043689006656757,0.37849156595359656,0.10945517999095199,0.47599689782201254,0.1909972209655529,0.13326439604472307,0.11193692238092161,0.13452465585212953,0.28748788211723647,0.14173721967297873,0.47599689782201254,40.0,2100.0,776.0,410.0,2229.0,0.7,1.957,2.8,0.2682677567705672,0.5520237763212941,0.09113965974062195,0.35689757356017293,0.2972209655528986,0.0009048019130097589,0.023227557681121953,0.007199638079234796,0.02203192658178763,0.4587345698959478,0.005842435209720158,0.007690816260582951,0.033135138628578815,0.007742519227040652,0.0026885542558004265,0.016725909649066114,0.11794092936082208,0.0430039423511924,0.0011633167452982614,0.001169779616105474,0.004368900665675693,0.002132747366380146,0.005958766884249984,0.01540102113358754,0.011536224390874426,0.002610999806113876,0.10664383118981452,0.002152135978801784,0.02397725069475861,0.004666192722807471,0.001719123634718542,0.0005105667937697926,0.003412395786208234,0.01452207070380663,0.08551024365022943,0.01912437675022198,0.5600594584114263,0.008388806307761908,0.007412912815872811,0.0011633167452982614,0.011575001615717702,0.005280165449492664,0.33383312867575776,0.350796957072994,0.3796143645616802,0.34477130244463405,0.4614942315539563,0.09852728419334496,0.006788589234707126,0.05985458322513633,0.001038691249026227,0.17182920948176725,0.0711132544422599,0.679,0.069,0.1212995918367347,0.33314612244897956,0.09946929492039423,0.00473921670226345,0.04451072326765832,0.043537604104793556,0.12265092825457809,0.09836086291657715,0.017465593286741566,0.03177170877197417,0.06551493169208993,0.10941903522185853,0.12325754799246781,0.18518063723906159,0.13740063336133912,0.7297003551253048
286,50502.0,99.32600000000001,0.5113212940106535,0.3781317396388203,0.2752293101208263,0.49754449785630767,0.1706067298947642,0.11298947641938417,0.1849187995322853,0.14368195400805508,0.2299857087176822,0.15784851240743147,0.49754449785630767,37.0,2000.0,761.0,355.0,1983.0,0.8,1.558,2.4,0.3209242618741977,0.460225485604848,0.10785005836344701,0.43188251822547163,0.24292581525269585,0.0019072365856827335,0.05097570482005977,0.012560737949850591,0.015330648304534233,0.3034169156814343,0.010456021826685721,0.007067688709886969,0.02623879433545537,0.016318045991944915,0.002743926205014941,0.038056385604781084,0.09431206963752112,0.09104846043913213,0.002905027932960894,0.0014031440821099129,0.01900480706768871,0.0018240873067428868,0.005581395348837209,0.010611926724697934,0.011074444588800832,0.0037573080420943224,0.07254774587501624,0.005186436273872937,0.012815382616603872,0.005742497076783162,0.0035130570352085227,0.0013355852929712874,0.023032350266337535,0.007769260750941925,0.15313498765752892,0.09378521755861575,0.5041652591918929,0.03568143432506171,0.02320904248408471,0.01378718981421333,0.029211381057554893,0.012243731323892426,0.28701572041054957,0.32200839470974896,0.48442655404513657,0.30098250336473753,0.34605652759084793,0.1664199192462988,0.04053835800807537,0.09075370121130552,0.0056258411843876175,0.3177523553162853,0.13738896366083445,0.634,0.073,0.16300777054772886,0.4124707814770358,0.1217716512306397,0.004698186776894722,0.04195342296465174,0.04537319157096286,0.1005688960859097,0.09354824963245477,0.020252274518995163,0.03559329256599834,0.06157714188310996,0.0908422645047195,0.13002578143310678,0.1886345329349097,0.13070027283357152,0.7569407453177934
287,50503.0,684.2007,0.5057831453500745,0.4097148329431794,0.20330389444562674,0.40055330921472654,0.22969780804426473,0.13936475845924665,0.1565173441157693,0.15037773994466908,0.22484039157267505,0.09916471589699936,0.40055330921472654,33.0,2058.0,708.0,375.0,1874.0,0.8,1.695,2.9,0.3035398230088496,0.5015234938792965,0.11622081879204882,0.3822862335718486,0.26596084273249626,0.0020004256224728668,0.02345179825494786,0.0066131091721642905,0.01716854649925516,0.39415301127899555,0.01393913598638008,0.005862949563736965,0.025292615450095764,0.006389657373909343,0.0024739306235369227,0.030889550968291126,0.08269844647797403,0.044610555437327094,0.0013087891040646947,0.0015269206214088104,0.011502447329218983,0.002383485848052777,0.01716322621834433,0.015114918067673974,0.008427324962758033,0.0024100872526069375,0.08337412215364971,0.003926367312194084,0.02278676314109385,0.005192594168972122,0.001851457756969568,0.0004575441583315599,0.027000425622472866,0.011252394126409875,0.13074058310278783,0.06165433060641475,0.5112045115982123,0.02467546286443924,0.018094275377739943,0.0007820812938923175,0.026516280059587147,0.008815705469248777,0.3221430091508832,0.39863495997324994,0.4276542685838595,0.1946960317977455,0.5461653743402619,0.1272887209226559,0.022365934710366846,0.06335114354596989,0.002247996351078387,0.2255815468821268,0.09270541473903694,0.672,0.085,0.15810970701215066,0.42587239928036175,0.061232332208518966,0.012299459228529349,0.046094865481691345,0.056809111043655214,0.13412481590160433,0.11139217736404826,0.016020776417417115,0.03642618638065365,0.058135743757518524,0.07250385060766523,0.12194902582436731,0.1189827622898489,0.17435092572887848,0.7548540141882244
288,50601.0,559.5261,0.5025250621843672,0.3461470817316148,0.18741991407251074,0.3771764528529434,0.2226828471646441,0.12474560940679882,0.1724579784427527,0.14224516971935378,0.22402703449662068,0.11382879827140022,0.3771764528529434,33.0,1950.0,698.0,325.0,1719.0,0.8,1.497,2.7,0.3256513026052104,0.487168458781362,0.12206093189964158,0.3906989247311828,0.30618577422677823,0.004107936986507877,0.0348232456470943,0.0032536870932891133,0.03463480817064898,0.3949775131278109,0.019170372603703426,0.005075249365593829,0.026368684203914475,0.0025376246827969145,0.0019346247581719053,0.054508680686414915,0.07581467802316524,0.03469762066279742,0.0022989372126328484,0.001281374839828145,0.0006281249214843848,0.0016079997990000251,0.014987060626617421,0.013492123313484585,0.0061807492274063465,0.0021356247330469084,0.08149292731338409,0.0011054998618125172,0.013278560840179894,0.00447224944096882,0.006117936735257908,0.000540187432476571,0.0020853747393281574,0.009572623803422024,0.12318785960151755,0.04199027364447993,0.4851888143513982,0.01963518504560187,0.030087183739102033,0.0004899374387578202,0.020476872440390946,0.01751212281098465,0.3348785206401849,0.3669034877283632,0.490971853425385,0.21975740356245219,0.5250428004225404,0.12024186791971733,0.024514624995446762,0.06520234582741413,0.0029140713218956033,0.22427421411139037,0.119804757221433,0.6459999999999999,0.092,0.16132167152575316,0.43539972379929415,0.07468396540252828,0.008929063550680703,0.045720112440059524,0.07170809678663947,0.10307005456649948,0.10838891032354075,0.016177037976078928,0.03149975197045692,0.05972000220470705,0.07462933362729428,0.12528247809072368,0.11377854827768147,0.1744051656993543,0.7730254092487461
289,50602.0,60.1099,0.4907802822478011,0.40387171582906756,0.2862496111315365,0.4964648321502305,0.15215362425407958,0.13067394439888005,0.2295596594926327,0.15083854181396533,0.21543312876495377,0.12148250798947934,0.4964648321502305,34.0,2000.0,761.0,360.0,1855.0,0.8,1.522,2.4,0.328515111695138,0.3944658944658945,0.13193713193713194,0.4735579735579736,0.2372380440623321,0.0037755592635538337,0.07914533782063972,0.005203767074860715,0.015116377725614413,0.28920501145394384,0.022285698124946973,0.006829944285754687,0.025622896575129388,0.00487853163268192,0.0022200854096552504,0.04438756752170593,0.09228202155038322,0.0478803133572782,0.012231680760202495,0.0032240730789897904,0.0011736757261234763,0.0018948499674764558,0.009700500579767528,0.011567069204445828,0.010464096835317741,0.00287055629401284,0.07507282445770525,0.001569614525297661,0.0053310331174524165,0.005613846545433977,0.005939081987612772,0.0032806357645861024,0.009149014395203485,0.006547130857773127,0.16499335388444245,0.08028430377087636,0.4261432732826155,0.05622330948273424,0.028069232727169886,0.0006646115557566673,0.03194377669051727,0.012443790831188664,0.3181792471506547,0.3009097270818754,0.5060753341433779,0.2246376811594203,0.31044221479004086,0.2426607209215905,0.05867707172054998,0.10746934225195094,0.004607952434039391,0.4289855072463768,0.1390189520624303,0.639,0.085,0.20534254824926157,0.45536405609245506,0.11848730860137704,0.004653685833380917,0.05578712956089762,0.045965853937075314,0.08956203962770513,0.08253868554787872,0.020042254325358305,0.04068406326728716,0.06309598583909096,0.07445897333409467,0.10840518471992235,0.17063548177267457,0.15616957493141775,0.7260606406669331
290,50603.0,68.1881,0.5011699092919645,0.4986377768518222,0.39115569943481093,0.5200914559227325,0.17230253106402982,0.1617893735910339,0.16449245168114363,0.13318802953086104,0.22732566214729105,0.1408057950575339,0.5200914559227325,35.0,1950.0,605.0,370.0,1780.0,0.8,1.524,2.8,0.3198818897637795,0.4820961073518262,0.06815353142301254,0.4497360552781791,0.20244238597390943,0.0017949293246578416,0.17213158541406243,0.0037928566086519867,0.015353056187698324,0.26477344359327754,0.018964283043259932,0.005363419767727598,0.020374584655491093,0.0034189129993482696,0.0016026154684445014,0.07665843990726198,0.06288663098176224,0.03368697714670342,0.014487643834738292,0.0020299795933630353,0.0006410461873778006,0.0013889334059852345,0.004989476158423881,0.009081487654518841,0.006410461873778006,0.0027244462963556524,0.06082459907903031,0.0009508851779437375,0.008387020951526224,0.004038590980480144,0.012179877560178212,0.005085633086530551,0.007521608598566193,0.006656196245606163,0.17646933128198553,0.09378414861477148,0.4500678440548308,0.05703174247037832,0.045054862869536416,0.0005128369499022404,0.05738431787343611,0.020695107749179997,0.28307531224291377,0.35716096324461344,0.40152395712256234,0.3077043532727842,0.3484184152834325,0.15230191042906358,0.03244597557156279,0.09336047604134043,0.009520826808643908,0.30216097713748824,0.11174444096461009,0.618,0.10300000000000001,0.18175537083018461,0.42431177804167114,0.13869685805356624,0.0039136207980990986,0.035199291820998437,0.054837281897174274,0.07407925082116151,0.10084562163673212,0.01593402753511776,0.037039625410580757,0.0612435064178722,0.09595359563910826,0.12742562955715517,0.15607337842024852,0.14015406476703313,0.7402800102499593
291,50604.0,127.2975,0.4917805086683662,0.43274923140768845,0.3197174629254783,0.39874484429124357,0.20881149797159385,0.13488265733910376,0.16252657254410408,0.14895022570782482,0.22774046564413541,0.11709705013000432,0.39874484429124357,34.0,1800.0,636.0,350.0,1656.0,0.8,1.482,2.9,0.30364372469635625,0.49664437446186144,0.086916009105599,0.41646320606725407,0.24583943831358565,0.003760385524209599,0.09604227892913705,0.0032268173079366153,0.01842927680333353,0.30465898215510745,0.027059530968129887,0.004751297925859426,0.02159680875390648,0.002439168988676497,0.0015583579649877618,0.06556113590744708,0.061199427472834605,0.03235286644702853,0.005250988795067458,0.00270171842842987,0.0006944856148315026,0.0013805018928967673,0.013703386887772818,0.011721562084473164,0.00575067966427549,0.0014736645973253833,0.06450246881166735,0.0014651952605591455,0.0104088148857063,0.0039805882801317825,0.007495363038120485,0.002566209040170064,0.005801495684872917,0.0059285357363664856,0.19067864795507863,0.10018396743385001,0.4621971153438974,0.0769354551845045,0.037358244475875095,0.00022867209268842158,0.038272932846628784,0.019013661040203942,0.27766720588110744,0.37900395969481376,0.44887712251232426,0.2591034977946456,0.47333059801005234,0.11334495845727767,0.026053954251718126,0.07359729202995179,0.004051697610011284,0.23245973946045748,0.12075597497179198,0.628,0.09699999999999999,0.14542316707736955,0.37489589325731754,0.08595448336892327,0.006669185716984697,0.03861704137540147,0.07532590213489515,0.09627810315511053,0.10723597203854147,0.014320801058001133,0.03514075193651993,0.058719062913281696,0.06861893066314,0.11617230304175326,0.1063494617736485,0.17788148010129326,0.7706026827885887
