SA4s,AREA_SKM,FEMALE,BORN_ELSEWHERE,NON_ENGLISH_LANGUGE,HIGH_SCHOOL_COMPLETE,AGE_UNDER_15,AGE_15_24,AGE_25_34,AGE_35_44,AGE_45_64,AGE_OVER_65,HIGH_SCHOOL_TOTAL,MEDIAN_AGE,MEDIAN_MORTGAGE_REPAY,MEDIAN_TOT_PRSNL_INC,MEDIAN_RENT,MEDIAN_TOT_FAM_INC,AVERAGE_NUM_PSNS_PER,MEDIAN_TOT_HHD,AVERAGE_HOUSEHOLD_SIZE,LEVERAGE_RATIO,MARRIED,DEFACTOR,NOT_MARRIED,AUSTRALIAN_TOTAL,AUSTRALIAN_ABORIGINAL_TOTAL,CHINESE_TOTAL,CROATIAN_TOTAL,DUTCH_TOTAL,ENGLISH_TOTAL,FILIPINO_TOTAL,FRENCH_TOTAL,GERMAN_TOTAL,GREEK_TOTAL,HUNGARIAN_TOTAL,INDIAN_TOTAL,IRISH_TOTAL,ITALIAN_TOTAL,KOREAN_TOTAL,LEBANESE_TOTAL,MACEDONIAN_TOTAL,MALTESE_TOTAL,MAORI_TOTAL,NEW_ZEALANDER_TOTAL,POLISH_TOTAL,RUSSIAN_TOTAL,SCOTTISH_TOTAL,SERBIAN_TOTAL,SOUTH_AFRICAN_TOTAL,SPANISH_TOTAL,SRI_LANKAN_TOTAL,TURKISH_TOTAL,VIETNAMESE_TOTAL,WELSH_TOTAL,OTHER_TOTAL,LOW_ENGLISH,CHRISTIANITY,ISLAM,HINDUISM,JUDAISM,BUDDHISM,OTHER_RELIGION,NO_RELIGION,FAMILY_COUPLE_CHILDREN_DEPENDENTS,ONE_PARENT_FAMILIES,Owned_outright_Total,Owned_with_a_mortgage_Total,Rented_Real_Estate_Agent_Total,HOUSING_PUBLIC_HOUSING,HOUSING_SHARE_HOUSE,HOUSING_CO_OPERATIVE,HOUSING_RENTAL,NO_INTERNET_TOTAL,LABOUR_FORCE,LABOUR_FORCE1,DIFF_ADDRESS_1YR,DIFF_ADDRESS_5YR,DIPLOMA_ABOVE,AGRICULTURE_TOTAL,MINING_TOTAL,MANUFACTURING_TOTAL,CONSTRUCTION_TOTAL,RETAIL_TOTAL,REAL_ESTATE_TOTAL,ADMIN_TOTAL,PUBLIC_ADMIN_TOTAL,EDUCATION_SECTOR_TOTAL,HEALTHCARE_TOTAL,WHITECOLLAR,BLUECOLLAR,NOT_USE_PUBLIC_TRANSPORT,Sw_amt,Alow_ben_amt,ETP_txbl_amt,Grs_int_amt,Aust_govt_pnsn_allw_amt,Unfranked_Div_amt,Frk_Div_amt,Dividends_franking_cr_amt,Net_rent_amt,Gross_rent_amt,Other_rent_ded_amt,Rent_int_ded_amt,Rent_cap_wks_amt,Net_farm_management_amt,Net_PP_BI_amt,Net_NPP_BI_amt,Total_PP_BI_amt,Total_NPP_BI_amt,Total_PP_BE_amt,Total_NPP_BE_amt,Net_CG_amt,Tot_CY_CG_amt,Net_PT_PP_dsn,Net_PT_NPP_dsn,Taxed_othr_pnsn_amt,Untaxed_othr_pnsn_amt,Other_foreign_inc_amt,Other_inc_amt,Tot_inc_amt,WRE_car_amt,WRE_trvl_amt,WRE_uniform_amt,WRE_self_amt,WRE_other_amt,Div_Ded_amt,Intrst_Ded_amt,Gift_amt,Non_emp_spr_amt,Cost_tax_affairs_amt,Other_Ded_amt,Tot_ded_amt,PP_loss_claimed,NPP_loss_claimed,Rep_frng_ben_amt,Med_Exp_TO_amt,Asbl_forgn_source_incm_amt,Spouse_adjusted_taxable_inc,Net_fincl_invstmt_lss_amt,Rptbl_Empr_spr_cont_amt,Cr_PAYG_ITI_amt,TFN_amts_wheld_gr_intst_amt,TFN_amts_wheld_divs_amt,Hrs_to_prepare_BPI_cnt,Taxable_Income,Help_debt,MCS_Emplr_Contr,MCS_Prsnl_Contr,MCS_Othr_Contr,MCS_Ttl_Acnt_Bal,2PP
101,51895.5631,0.5013457135937636,0.1251993438218266,0.0593621911598726,0.34870203753375706,0.17712698144331782,0.10520327357968956,0.1020731757469967,0.11614262279350952,0.2935209259606202,0.20593302047586626,0.34870203753375706,44.0,1625.0,655.0,250.0,1561.0,0.8,1.228,2.4,0.3308224755700326,0.4962824917981869,0.11646251108134514,0.3872420554034904,0.4149869998126511,0.0046243197177885526,0.008033156189597108,0.005428549233925691,0.015568238417495647,0.402763625064544,0.005515369465781405,0.005291464657311406,0.043492366673825535,0.0060774162298999745,0.0032443349798714147,0.0071786623287013965,0.13235058923520515,0.022970805554667045,0.000987008951622853,0.002892484566561416,0.0060408603428028325,0.0049487532157756935,0.003157514748015701,0.005963179082721403,0.006068277258125688,0.002531495181477132,0.10518042615025383,0.00276910844760856,0.002006004304455705,0.0027553999899471307,0.0008864802621057103,0.0004889349899242836,0.0011058155846885669,0.006612046078695686,0.050479110595266934,0.037811598963465816,0.5918215341591917,0.005593050725862833,0.004487235141174268,0.0006625754536357116,0.007886932641208537,0.005734704788364261,0.28146662219033736,0.28303060677807923,0.5578359420666363,0.3842714648458857,0.32296589680350873,0.13050820687895612,0.02666780060503712,0.06533914881726179,0.00643915003219575,0.25287635617004217,0.18633442272412493,0.568,0.049,0.13400862427169227,0.3413974274924053,0.08959049071301281,0.0650715540533599,0.0051058671241742785,0.04425769732584062,0.0939191896362198,0.09784361869343224,0.014619011906841041,0.03067629624302695,0.14065277021543265,0.07546820904262423,0.1162432324145512,0.14557468139259652,0.13623465223927655,0.799967125201615,37904.140289999996,573.8421728,83.54234388,1174.576133,1073.70231,70.21214713,1625.9580839999999,696.5286570000001,-22.46321642,2803.012831,1346.254919,1309.0179640000001,170.20316509999998,-43.25064157,-160.2566296,2140.316938,754.3528657,6948.754919,830.3071001000001,4710.960222,765.6591103999999,2139.0149699999997,-49.0188195,3702.997861,271.1826347,1275.0179640000001,23.32121471,2734.0893929999997,53840.09795,464.71685199999996,136.60307959999997,119.99187340000002,48.46321642,425.242515,64.63558597,45.11291702,134.46022240000002,327.18520099999995,166.93755349999998,124.51539779999999,2057.864414,150.9213003,55.86655261,816.4375535,22.59837468,564.1026517999999,34110.60565,30.75962361,817.1976047999999,2059.616339,4.141573995,0.933276305,0.026946108,51597.33961,1138.897776,3735.3254920000004,3545.231394,1149.483319,116440.799,0
102,1681.0724,0.5155735103864085,0.14662411209021894,0.05864171162154905,0.32833133985891083,0.18437400834818268,0.11626431029853294,0.10764151634242193,0.1201454829496912,0.26238801962555225,0.20919276490834085,0.32833133985891083,42.0,1750.0,600.0,350.0,1560.0,0.8,1.258,2.5,0.34777424483306835,0.4648845757485992,0.10466828826648754,0.4304471359849133,0.4184374008348183,0.004372421705274978,0.012711450679815462,0.0031702345790514314,0.013703102497131836,0.4344197768935973,0.007506041447994728,0.00613603632191764,0.03405790026118583,0.007191764102814461,0.0026057558522713407,0.006886640466717114,0.1289208387238509,0.02514218761442136,0.0023250421070617816,0.0027796763248468283,0.00046073669050699344,0.010005004027631995,0.005785144140405692,0.009977542900383236,0.005382380940757195,0.003356359997070813,0.10345522005516636,0.001211340835306466,0.0043968315961627645,0.004967412795664803,0.0009702931627895623,0.0008024751629360215,0.0012510069079991212,0.007612834720628799,0.055404349842556204,0.03433637158197028,0.6156754216808651,0.00314277345180267,0.003533331706007274,0.001086240144506554,0.00969988039153465,0.00365232992408524,0.28096394659115875,0.2958950255493974,0.7037686240140227,0.3472919833454497,0.33995605049236666,0.17118828894322913,0.029599828167338575,0.04907970391910647,0.005526733196748397,0.26785242217963123,0.1643893331570947,0.56,0.068,0.13428834948161994,0.36629311222365146,0.06423386759761092,0.00797317917087533,0.005458726440437558,0.06256044357525091,0.11264175137721805,0.1109726132399189,0.017429240721239605,0.03567514130364703,0.0623455330854699,0.07670871748583381,0.15339594392268954,0.12676361461664265,0.13553286791808042,0.7378521845651286,39789.00058,614.9216989,208.71482230000004,929.0023115,1207.01618,33.48194164,2679.2042760000004,1148.112973,-63.22103438,2256.006645,1024.16267,1152.015025,143.04998559999999,0.0,33.32909564,1843.543773,88.73851488,6182.920543,52.09505923,4291.432245,659.6581913,2021.65588,72.22103438,2311.101705,283.8344409,443.6677261,24.41664259,1333.996244,53552.026,763.1138399,152.8451315,141.75325049999998,88.15342387,544.7841664,52.61629587,37.66108061,110.5102572,183.043629,132.3917943,114.6529905,2321.52586,9.125686218,32.15024559,1262.366368,11.04940769,139.113551,29234.93615,81.80439179,591.7581624,938.2311471,4.781854955,0.19618607300000002,0.045651545999999994,51213.59289,1549.780121,3918.686507,1670.356833,368.2360589,96079.59347,0
103,70297.0604,0.5018748029395358,0.0753801751109602,0.03548786107540443,0.2847566151681987,0.19842351628628946,0.11960418131988068,0.11203705949407,0.11472920860517573,0.26091533069777595,0.19434406150711844,0.2847566151681987,41.0,1500.0,594.0,235.0,1473.0,0.8,1.166,2.4,0.3216123499142367,0.4849390252640328,0.10934611581617301,0.4056647034378,0.4533482088719653,0.006485411462249279,0.007062647037423299,0.0017802139167131528,0.011355533457835123,0.40663093303582254,0.004865271276466736,0.0038369188232155412,0.03622031966238995,0.003541024956949868,0.0016783488152118553,0.005558924110499381,0.12878659261235478,0.015774538575343798,0.0008197715311294901,0.0020033469961921856,0.0003589532148140962,0.0038757245761684173,0.0027891634934879093,0.0052096723339235046,0.0039678882394314965,0.0017462588828793867,0.09712109820280856,0.0007858164972957241,0.0020373020300259517,0.001809318231427809,0.0007518614634619582,0.00027649098978923625,0.0010574567679658509,0.005112657951541316,0.033562125585117994,0.04009009009009009,0.6728772040454998,0.002381703087482719,0.0033566976304237107,0.00027164027067012685,0.00549101404283185,0.0034197569789721325,0.20450146734253352,0.30303030303030304,0.5943105756358769,0.3703341984855377,0.31018382254568805,0.14816846386428706,0.03716586840767399,0.06461884247986514,0.007104059080084553,0.27899820726192703,0.22346346292778207,0.557,0.062,0.13198635013379814,0.33416640070704345,0.05912228017491175,0.09639922583935008,0.0535074808487953,0.06086664271558868,0.07179528781855901,0.09907633826648278,0.011229965116413828,0.02738535352950039,0.07078702469665188,0.09190260410027004,0.1318970412692526,0.13139142877931653,0.1476219349518566,0.8024267850313489,40259.28693,385.53232660000003,227.13638509999998,1012.4285039999999,1323.283624,164.22793769999998,2715.160925,1163.363851,-112.76828689999999,2388.204814,1131.590373,1210.224634,159.1580934,-223.2180274,-285.5172251,1361.210949,2110.078339,5273.493157,2200.472393,3890.4709770000004,316.7163756,1975.683341,895.7630957999999,4695.460123,256.6474752,156.55497880000001,40.97829165,2507.209061,56859.45871,578.3496932999999,162.5724398,164.0231241,102.0934403,496.0722039,70.36385087,25.24445493,166.4200094,363.4459651,138.470033,131.2255781,2398.280793,223.6210477,36.86644644,897.2222747000002,9.697026898999999,46.96696555,32117.69655,27.51061822,735.2812647000001,2062.6923079999997,5.696554979,0.49221330799999996,0.016989146,54235.773010000004,1594.253893,4090.605946,2330.60925,411.2973101,107898.1052,0
104,13229.7578,0.5114463489081944,0.1134802770603428,0.05097293965719653,0.29405376849025594,0.1750924512796431,0.10383159192298662,0.09357390232448932,0.10778645221883072,0.2894678915238319,0.2302697229396572,0.29405376849025594,46.0,1500.0,520.0,288.0,1249.0,0.8,1.013,2.4,0.3701875616979269,0.4665389815232087,0.11392314310295384,0.4195583596214511,0.42140907490021134,0.007931732801127023,0.007043907020427329,0.0013427447757689598,0.013522833998591218,0.42106421695233626,0.004593214369570321,0.0053049424747593325,0.04428856539093684,0.0033678680441418174,0.0020031110589340227,0.01130693824841512,0.12798632308053534,0.017815214839164126,0.0005869922517022777,0.001078598262502935,0.00027882131955858186,0.0033385184315567035,0.00316242075604602,0.006603662831650622,0.004116283165062221,0.0018270133834233386,0.11200545902794083,0.00035953275416764503,0.002267257572200047,0.002956973467950223,0.0005356304296783282,0.0003668701573139233,0.0007557525240666825,0.006310166705799485,0.050694118337637935,0.058838743049269365,0.5610398567738906,0.003866811458088753,0.002369981216247945,0.0007337403146278469,0.009832120216013148,0.0138016553181498,0.3059843860061047,0.25139988414751885,0.7895959126799814,0.4017514627814159,0.27738598054791336,0.15261363196032085,0.03053435114503817,0.07052350137559578,0.008641066377339482,0.2812415236176231,0.18946409888789864,0.503,0.079,0.1443357783211084,0.3598281099503593,0.05794714610305441,0.05839542207542822,0.004339811045395192,0.04347492126891466,0.09455411321914126,0.11851908748751824,0.016379906290805747,0.03410400184345956,0.06590367923803672,0.08762193716875337,0.16404869805668634,0.11430940361587227,0.12447170697346795,0.8092403410400184,31491.012389999996,431.0874636,57.28425656,1005.520408,1491.2106410000001,40.85495627,916.2120991,391.28207000000003,46.77405248,2098.155977,979.2456268,957.5932945000001,114.5430029,3.290816327,-225.2827988,1409.698251,426.26967930000006,5939.9868799999995,433.4139942,4435.815597999999,436.57507289999995,1206.861516,21.82142857,2763.209184,237.5663265,406.9890671,15.50510204,1698.951895,42639.56268,579.8498542,191.59985419999998,143.6982507,67.49854227,463.9825073,26.52405248,32.58017493,189.13338190000002,384.23760930000003,150.36661809999998,125.9395044,2355.41035,44.03790087,89.61224490000001,1318.232507,7.637755102000001,267.28207000000003,26483.29446,39.77259475,494.68586009999996,738.8053936000001,2.396501458,0.264577259,0.035714286,40207.05394,1404.911808,3090.1953350000003,3443.9584549999995,364.84693880000003,102299.0933,0
105,339363.6925,0.503607871399819,0.059712249184823214,0.03517345028520202,0.2558029161796114,0.19892071471888487,0.11386108157041283,0.1230982870301198,0.1112595470165848,0.2655323038522047,0.187257754067095,0.2558029161796114,40.0,1278.0,590.0,190.0,1386.0,0.8,1.11,2.4,0.28783783783783784,0.4458828663237375,0.1187733890483054,0.4353437446279571,0.478699935840533,0.026876664410831527,0.0069784406612819596,0.0015820142557062375,0.007769447789135076,0.36744917779203545,0.005132757362958015,0.0034364865221174377,0.03507677163624219,0.003137661607150705,0.0008964747449002012,0.006477469480308317,0.10881621388832736,0.013587744662899129,0.00070311744698055,0.00154685838335721,0.00025488007453044944,0.003963824607352851,0.0028300477240967136,0.003664999692386117,0.002592745585740778,0.0008876857768129443,0.08552544845709666,0.0007646402235913483,0.001335923149263045,0.0012744003726522471,0.0013710790216120725,0.00021972420218142189,0.0008349519682894031,0.00337496374550664,0.029416676188048763,0.04194877833382396,0.6558415876391953,0.003533165171077264,0.005264591884266868,0.0002988249149667338,0.004737253799031456,0.003383752713593897,0.20865889135956547,0.2765310810333251,0.7788396823260196,0.36483996120271583,0.2818137730358875,0.11794374393792435,0.04255577109602328,0.07643064985451019,0.018695441319107664,0.30317652764306496,0.2610329776915616,0.551,0.07,0.12621981622622694,0.3049273452525109,0.04839262319862945,0.12743271886441004,0.04189950114543858,0.03817414948508789,0.06416597083948873,0.09645235189586143,0.008799537542552508,0.02614169182349541,0.07716188151668915,0.09499646733894278,0.14130644228916436,0.1338999288093585,0.13527979679905786,0.8090436123065066,38230.2897,525.3673986,25.92736486,921.5236486,1250.57348,23.2339527,894.3581081,383.4974662,-107.1258446,1910.8479730000001,980.1883446,912.7871622000001,124.9983108,-37.0472973,-109.8927365,1040.3479730000001,1945.7652030000002,4355.399493,2037.783784,3260.702703,173.3386824,441.1182432,943.9746622000001,2911.1875,75.47381757,180.78800680000003,19.07179054,1327.1579390000002,48672.05405,519.1689188999999,247.6630068,158.5996622,81.92398649,493.88260139999994,8.690033784,62.27618243,85.42060811,372.8386824,144.625,102.5439189,2277.6326010000002,290.652027,50.49239865,1066.526182,16.96537162,31.91976351,28681.64274,24.22804054,661.4467905,957.597973,4.077702703,0.116554054,0.037162162,46063.14189,1199.989865,3981.425676,3077.478885,391.2119932,90073.62753,0
106,21491.2915,0.5040772010811796,0.08367373280286695,0.03133826343122665,0.2657431591095454,0.20220867373280288,0.11957512072159625,0.11997372976584565,0.12330686063109304,0.25948309897652383,0.17546010872536216,0.2657431591095454,39.0,1733.0,599.0,290.0,1548.0,0.8,1.286,2.6,0.3368973561430793,0.4908225955526559,0.11531560919915185,0.3938563583972163,0.4577056822668327,0.005462842044522732,0.005944969174233912,0.0018753606462781304,0.011487533027606524,0.42977267895647947,0.005880432471831627,0.003826646824794242,0.043231998056306384,0.0034508154402162357,0.0015944361769976007,0.004308773954505421,0.11276839675646125,0.014122148996264463,0.0006074042579038479,0.0011996234093600993,0.0006605521304704347,0.003917757463479819,0.003982294165882103,0.006730798432897015,0.006890242050596775,0.0016741579858474806,0.10632231906945667,0.0005428675555015642,0.00259665320253895,0.002539709053360464,0.0005276824490539679,0.0002847207458924287,0.0009149026634676707,0.007835514926959638,0.03488778206335227,0.027176625379973684,0.6480547878640629,0.0022625808606918326,0.002778874479910104,0.0004479606402040878,0.00622589364351444,0.003173687247547605,0.24500409997874084,0.3076770059250629,0.6105809641532757,0.3330244744073104,0.34656101561335123,0.17486740366796602,0.03464545125354123,0.04755362429974226,0.004015166038298506,0.28311713208511724,0.17786014015805054,0.569,0.07200000000000001,0.1383908505218998,0.36161875381772496,0.04807193642827269,0.03361389975307752,0.08954094046825152,0.06701151704125588,0.08501703224411081,0.10094082872231132,0.015139772542941082,0.03712848980768884,0.06611034010417606,0.06717372888993024,0.1167204368905791,0.10338020469523493,0.17229021775442646,0.8082025124813006,48629.24269,588.4978070000001,405.9813596,928.938962,1125.09576,20.62828947,1070.9473679999999,458.48135959999996,-364.2119883,2286.857091,1085.107456,1365.5,200.46162280000001,1.725146199,-450.50840639999996,1224.2510960000002,327.0698099,5469.68019,626.5354532,4233.683114,303.6465643,748.9247076,-337.1345029,1792.852339,172.5211988,414.248538,30.72149123,1473.4309210000001,57489.35599,737.0822368,151.3768275,159.9470029,88.55226608,528.0168129,38.67909357,61.34502924,107.2152778,158.373538,154.0087719,113.0990497,2297.695906,52.18457602,145.0829678,919.8534357000001,12.03545322,91.48135965,34363.663010000004,75.60160819,727.7986111,1424.416667,3.5672514619999998,0.072368421,0.04130117,55152.95687,1028.4404240000001,4702.527778,2089.927997,475.30921050000006,114666.0029,0
107,1538.919,0.5076935133256557,0.1985526109562717,0.14419715564883778,0.3578471791586881,0.18318943487771472,0.13572338787164304,0.12230232986023565,0.12535861039748686,0.2547377459164412,0.17867826940244094,0.3578471791586881,39.0,1950.0,591.0,330.0,1679.0,0.8,1.3519999999999999,2.6,0.3605769230769231,0.4836790144134588,0.09280350612734836,0.4235081744503066,0.36263092260829866,0.004228365826899358,0.019772124813454448,0.00873953130217313,0.016695400928128004,0.37042324544965133,0.0071245068042276845,0.005213053759190988,0.03943521843717419,0.014119539070645396,0.0037513543718099853,0.008518061698024491,0.10961723237953758,0.05288694147069446,0.0016593184187751711,0.007161986275698992,0.030239119027986944,0.011942322500630336,0.004320360893238022,0.0070563623106434875,0.007894539581729098,0.002480459566464732,0.09699005771838606,0.008064900815689589,0.002521346262615249,0.010409071394985928,0.0013765187704007575,0.005325492173604912,0.0048246301457610715,0.009584523022617156,0.08203234137665506,0.1031506332154992,0.6069902621518668,0.017966295733473258,0.004950697458891835,0.00047701145508937146,0.011155253599732871,0.003369745207738489,0.2768812991066257,0.31286575917839443,0.6070103277149372,0.35502621381354,0.32213547602765746,0.15771977813236074,0.06630385229085936,0.047650254539928584,0.004815363574196489,0.2861579667198541,0.16668566218372466,0.57,0.069,0.12855119754392372,0.33546735396373084,0.09893535962195828,0.004735688873879889,0.020215030118352958,0.05974193244378824,0.0953342076949054,0.10065891259787484,0.014670425897856769,0.03353464592283105,0.0727945276484124,0.10932922854607284,0.1470576685960214,0.13766209871411342,0.13585286240945302,0.778522119515279,46865.52046,671.425218,268.1639839,1087.423877,1043.51945,30.284372899999997,2047.042254,877.2508383999999,-24.94466801,2658.176727,1259.4835679999999,1259.7686119999998,163.8692153,46.83098592,-16.12608987,2067.766935,92.46512408,7006.938967,108.4342723,4898.517773,1199.428907,3194.7981219999997,3.459758551,1936.4195170000003,261.2035547,201.0764588,29.19014085,1145.681422,59740.61737000001,826.3383635,181.962106,167.71529180000002,120.82830320000001,759.3413816000001,51.26123407,75.55566734,131.2659289,232.88195840000003,135.79678069999997,141.4768612,2824.423877,58.31120054,63.36452046,1236.077465,17.20422535,74.20120724,33951.42488,82.30549966,989.0566733999999,1031.814889,5.595238095,0.255868545,0.033534541,56846.697179999996,1789.1354800000001,4611.163984000001,1932.4959760000002,658.9325956,129753.2274,0
108,18851.4995,0.513197393037733,0.09677145725043708,0.026795349692037267,0.2635520096512269,0.16353834336313214,0.0953011531519644,0.08135682678215465,0.0975961470492599,0.2844048802786038,0.2778167869142935,0.2635520096512269,50.0,1450.0,491.0,270.0,1174.0,0.8,0.9359999999999999,2.3,0.3872863247863248,0.4836549567203498,0.10385169420039712,0.41251930389192415,0.4450874406812409,0.010815217647419191,0.006065004406199782,0.0014750166116088046,0.011814270432278829,0.4369253679294631,0.004335512085239936,0.005042389055659493,0.03867559530822192,0.003364734379197082,0.0019085678201327984,0.003322321760971909,0.1175065150494107,0.015593705967455384,0.000537226497518862,0.00166822965019015,0.00027332576189556133,0.005188476962879534,0.0024175192388348784,0.005876503880754567,0.0036521976805010334,0.0014844416378810654,0.10294484945876786,0.00035815099834590785,0.0020122431091276673,0.0024976319621490945,0.0005183764449743403,0.00018850052544521468,0.0007210145098279461,0.005956616604068784,0.033477693319070134,0.01704407109812515,0.6285832771758851,0.0010980155607183755,0.0019368428989495808,0.0005325139843827313,0.007393933110588545,0.003246921550793823,0.2594049980914322,0.22294213954784547,0.8548121292023731,0.4397835399143279,0.2554804957943869,0.14817436795814784,0.02883334733204545,0.05701875427460674,0.008375229478887945,0.2591881546897685,0.22040772248953094,0.455,0.081,0.1372500546718264,0.35666473334410925,0.05003553519958937,0.04394552319309601,0.006607335490830636,0.04863807982740022,0.10196871628910464,0.12001078748651565,0.016531823085221144,0.036529126213592236,0.051092233009708735,0.08909115426105718,0.17173678532901834,0.1017714336878714,0.1160173608983935,0.7989347357065804,29141.90617,488.7683951,150.2395062,1278.1624689999999,1627.552593,76.79111111,1216.6301230000001,521.7140741000001,69.20395062,1883.9343210000002,939.491358,797.8548147999999,77.38419753,-2.157037037,-363.2464198,2592.948148,711.7960494,12394.31901,993.1101235,9753.157531,490.7925926,1255.765432,-360.1644444,2789.218765,329.07950619999997,552.4276543,52.56345679,1415.773827,42068.204939999996,468.34024689999995,172.814321,121.1639506,50.93876543,352.7560494,45.05135802,37.30962963,94.41530864,257.7748148,124.82222220000001,93.66567901,1819.0523460000002,17.26716049,58.26518519,1056.8612349999999,15.43654321,147.6296296,26340.181230000002,4.29382716,623.9195062000001,871.4325926000001,5.359012346,0.135802469,0.329876543,40188.34815,1188.021728,3135.491852,2505.031111,544.5841975,96982.90765,0
109,97797.6754,0.5072666511230279,0.08469556056406137,0.04532697771214908,0.2892066699481015,0.18517654983031528,0.11410757925096933,0.10720793070991252,0.11086068581988376,0.2691640112950442,0.21341416025491566,0.2892066699481015,43.0,1300.0,600.0,200.0,1422.0,0.8,1.1159999999999999,2.3,0.29121863799283154,0.4937322685063677,0.10722007673753016,0.3990726506942622,0.4170444634422252,0.006312444409903025,0.005880676666407607,0.002167474072347003,0.013782026372373772,0.3903094047649888,0.005155306857335303,0.0035577662064022525,0.06231272074125886,0.004162241047295839,0.002012037684688652,0.007365957704031847,0.12761327426750602,0.025741992867196882,0.0006649223249829453,0.0015802699411932336,0.00025906064609725136,0.0021502033626071863,0.0028669378168095817,0.005241660406034386,0.004239959241125014,0.0013384800048357988,0.10972081897705586,0.0009585243905598301,0.0015543638765835087,0.0020897558785178275,0.001364386069445524,0.00024178993635743458,0.0006908283895926702,0.004559467371311624,0.03919587575451413,0.06555872756933116,0.6115126551125618,0.0028151256875901315,0.008393564933550944,0.00034541419479633515,0.006580140410870185,0.00559570995570063,0.26354239527473383,0.29067604585883866,0.5626623778300136,0.3684486612233727,0.3056379145189983,0.16024266751813165,0.022829904666332158,0.06456689321716919,0.007754413173379555,0.2820097614377594,0.2123796925603248,0.563,0.057,0.13789880957579675,0.3361310776701573,0.057260876155828415,0.11385229540918165,0.0031936127744510976,0.0824750499001996,0.08303393213572854,0.09996007984031936,0.009920159680638722,0.02780439121756487,0.06135728542914173,0.08351297405189621,0.1279640718562874,0.14020362166783246,0.1462310993670285,0.8090618762475049,34240.188539999996,611.5606312000001,188.88787380000002,995.3064784,1200.228405,82.54651163,1426.57309,611.5722591,43.41196013,2047.339701,863.1137874,966.9177741000001,173.8961794,-435.12375419999995,92.93604651,1446.241694,1340.554817,5621.32309,1254.974252,4128.409468,237.50581400000002,3192.033223,1598.681894,3696.9069770000006,391.8122924,131.97425249999998,23.59883721,1116.174419,47700.98422,594.2018272,227.7483389,151.467608,85.55398671,430.8347176,24.924418600000003,138.8031561,75.08388704,444.3347176,149.2956811,105.3504983,2427.598837,81.41777409,93.05315615,657.3496677999999,16.35714286,74.33222591,26310.00083,15.46511628,774.7433555,993.1960132999999,5.99833887,0.045681063,0.070598007,45123.92359,1613.9219269999999,3566.7358799999997,4546.2209299999995,754.2084718,116259.0947,0
110,99145.9163,0.5083803806009198,0.07016606537963703,0.0368373220236292,0.2903087218749139,0.1962600864751728,0.12172619867257856,0.11132714604389854,0.11160805265621987,0.2635069262757842,0.19557158987634599,0.2903087218749139,41.0,1309.0,579.0,220.0,1378.0,0.8,1.107,2.4,0.2956187895212285,0.4762218695315997,0.11004761323403736,0.413754934277459,0.4692186940596513,0.014039822643276145,0.00954531684613478,0.0006664647076643442,0.008487786070336812,0.39184820026989065,0.005772355484563906,0.0039051527085456205,0.04468067527746413,0.002093029660433477,0.0010905786125416544,0.0043182506678417,0.11485775660268238,0.010795626669604251,0.0013549613064911456,0.0016193440004406378,0.00011566742860290271,0.0018947426399713585,0.0027594943680978217,0.004389854314119688,0.0022252210074082232,0.0012723417146319298,0.10231059458566276,0.00040758998650546665,0.0020489658781085627,0.001608328054859409,0.0007821321362672469,0.00021481093883396216,0.0010024510478918234,0.0046487290352785655,0.03329569551926413,0.061150796765837186,0.6672468398006114,0.004169535402495111,0.003778469334361488,0.0002864145851119496,0.005408829280383355,0.0035911982594805983,0.2077221778524414,0.2824620206329169,0.6694695989650712,0.36352119685704376,0.2809054850920717,0.1571176497202407,0.034460916645301404,0.07223973336148523,0.01066252431869938,0.3121239084862835,0.2417995083475349,0.557,0.064,0.14051300344454726,0.33511877556935354,0.0674273348743422,0.14227808120023688,0.02147792327433046,0.05352372178719484,0.0669737448180562,0.09980917286306508,0.011107455418832663,0.029308416134763437,0.056590116470355986,0.10374416003158518,0.12778837928538528,0.13936823552091654,0.14361488254248025,0.7970652102388629,35727.2109,421.19579289999996,204.9428263,1090.268069,1322.022114,36.35544768,1545.125135,662.3117584,269.9530744,2814.854908,1269.6790720000001,1169.87109,105.35167209999999,-29.50323625,-345.7605178,1346.066882,1630.473031,8933.830636,1950.3878100000002,7519.622977,379.2901834,2566.696872,-594.8953614,3003.294498,240.21359219999997,190.5399137,147.7211435,2426.046386,48042.399139999994,516.3096009,180.1127292,145.0059331,74.26968716,470.41639699999996,51.34843581,30.41531823,479.5987055,320.71952539999995,132.2340885,105.98166129999998,2506.412082,447.8300971,84.29341963,997.6413161,13.98058252,273.4584682,27417.599239999996,21.54153182,445.49406689999995,1200.348975,3.909385113,0.518338727,0.015102481000000001,45453.46872,1173.183927,3467.8484359999998,2227.824703,419.91423949999995,96494.39213,0
