SA1_id,SA1_2PP
1135801,50.75473684
1135802,50.16698413
1135803,50.01247788
1135804,51.22773756
1135805,52.28623932
1135806,53.10571429
1135807,51.04554348
1135808,51.64196517
1135809,51.49553633
1135810,49.60770171
1135811,50.08578755
1135812,50.69779279
1135813,50.17706731
1135814,51.14623145
1135815,50.62345865
1135816,51.29311047
1135817,48.07
1135818,52.19110294
1135819,51.96571429
1135820,52.10584211
1135821,51.33717325
1135822,52.21374384
1135823,51.33377717
1135824,49.236
1135825,46.90892308
1135826,45.50671937
1135827,47.10240356
1135828,47.31961424
1135829,46.78747899
1135830,47.2445993
1135831,47.50480645
1135832,51.50763889
1135833,50.75030568
1135834,49.68958042
1135836,47.46962199
1135837,47.00163842
1135838,48.66009494
1135839,49.37960114
1135840,47.08908333
1135841,47.0785348
1135842,47.37751958
1135901,51.94198795
1135902,51.54603448
1135903,50.01034615
1135904,49.54669492
1135907,50.01542683
1135908,52.54020115
1135909,46.97103448
1135910,52.09
1135911,44.89724771
1135912,45.12124542
1135914,51.43027888
1135915,50.39539846
1135916,51.21068592
1135917,51.43889313
1135918,51.6742616
1135919,50.80238245
1135920,51.35631579
1135921,44.85007722
1135922,46.4
1135923,46.7277167
1135924,44.76789041
1135925,44.82646277
1135926,44.80709443
1135927,45.70270073
1135928,46.37659864
1135929,45.45908397
1135930,45.82518841
1135931,46.07468227
1135932,46.63355114
1135933,45.89376437
1135934,49.8079108
1135935,52.32291925
1135936,48.68779116
1135937,48.24251462
1135942,47.1686217
1135947,48.54623077
1135948,47.52096154
1135949,46.92529412
1135950,45.8580678
1135951,45.78101942
1135953,53.18209486
1135954,52.86424312
1135955,52.44361702
1135956,52.45180758
1135957,47.05913295
1135958,52.74309322
1135959,49.40007874
1135960,49.45865385
1135961,49.91701923
1136001,54.1223494
1136002,54.11251269
1136003,53.67882521
1136004,56.02370656
1136005,54.97791519
1136006,53.2274569
1136007,55.92646465
1136008,54.27328244
1136009,53.23892405
1136015,49.60884058
1136016,49.17769608
1136017,49.39254144
1136018,55.21106291
1136019,53.72528205
1136020,54.8019863
1136021,50.85416
1136022,53.91857724
1136023,53.03896996
1136024,53.84180685
1136025,55.15317919
1136026,53.51686901
1136027,53.70794189
1136028,54.20889503
1136029,53.04747807
1136030,50.02247312
1136031,48.3271978
1136032,49.1076257
1136033,49.24941718
1136034,49.23144796
1136035,49.68032738
1136901,41.30725806
1136902,42.5435905
1136903,50.79003367
1136905,50.70251282
1136906,50.4107309
1136907,50.76390769
1136908,50.2105988
1136909,49.34410959
1136910,50.59225464
1136911,48.0066289
1136912,48.28572727
1136913,48.18447368
1136914,41.14442982
1136915,41.86673004
1136916,40.60181538
1136917,40.7535241
1136918,41.34598958
1136919,51.07525292
1136920,50.99803571
1136921,49.92207612
1136922,50.75220708
1136923,49.09046703
1136924,51.84205
1136925,50.59099602
1136926,53.23313305
1136927,53.24868895
1136928,53.00090667
1136929,53.49428994
1136930,51.73075812
1136931,51.32722222
1136932,51.42898361
1136933,50.42837905
1136934,50.08161435
1136935,50.09006061
1136936,49.8588961
1136937,49.69870813
1136938,49.50574468
1136939,50.58640523
1136940,50.86625
1136941,48.66476
1136942,45.56275773
1136943,47.51755
1136944,48.56202128
1136945,44.67232274
1136946,42.10608815
1136948,46.51793548
1136949,47.08203947
1136950,40.94811321
1137002,50.77584665
1137003,51.00803828
1137004,50.69068376
1137005,50.74894009
1137006,50.8294697
1137007,51.16192568
1137008,51.18839196
1137011,51.20883544
1137012,52.06079602
1137013,52.19662069
1137014,51.51599278
1137015,52.62617647
1137016,52.28515556
1137017,51.97568
1137018,51.44059459
1137019,51.26018476
1137020,51.03776423
1137021,49.16700483
1137022,50.44050691
1137023,51.3581323
1137024,50.82097686
1137030,50.97316406
1137101,44.00977011
1137102,41.78672566
1137103,42.58188119
1137104,42.09889262
1137105,42.63814433
1137106,42.36838323
1137107,43.31644342
1137108,42.92678571
1137109,43.4201385
1137110,42.37606436
1137111,41.99714777
1137112,42.08841945
1137113,42.49963816
1137114,42.11538462
1137115,43.98636943
1137116,46.08300971
1137117,46.10987578
1137118,45.81926282
1137119,44.31283088
1137120,42.70841226
1137121,46.11697509
1137122,47.05584615
1137123,48.130875
1137124,51.66623077
1137125,42.16851852
1137126,42.31835366
1137127,43.63477401
1137128,48.41071672
1137129,51.03564
1137130,50.65016327
1137131,49.66741176
1137201,38.51620283
1137202,38.76540816
1137203,44.89819315
1137204,46.295
1137205,40.51570175
1137206,41.28107417
1137207,39.40925208
1137208,38.74231884
1137209,50.355
1137210,48.29977011
1137211,48.48560311
1137212,48.23996269
1137213,50.68843085
1137214,50.68539432
1137215,50.32595122
1137216,50.05685619
1137217,48.98486301
1137218,48.95044554
1137219,46.01615572
1137220,45.99407942
1137221,44.91148045
1137222,44.84319444
1137223,45.30489426
1137224,46.35530516
1137225,42.93760563
1137226,42.85078838
1137227,44.29545833
1137228,42.2956872
1137229,40.11741176
1137230,39.7875895
1137231,38.52683582
1137232,42.99763021
1137233,42.43877273
1137234,42.63444043
1137235,46.33645833
1137236,38.94717472
1137237,37.81147799
1137238,47.28482192
1137239,46.35923077
1137240,50.74768061
1137241,50.58830189
1137242,42.37878924
1137243,43.05534392
1137244,39.20238462
1137245,46.40401826
1137301,52.98759036
1137302,51.73569554
1137303,53.77125806
1137304,52.02559524
1137305,51.85392638
1137306,52.63039823
1137308,67.19268293
1137309,64.27295455
1137310,60.06189266
1137312,60.4911245
1137313,67.50862295
1137314,62.78931973
1137316,62.53022346
1137317,60.26289063
1137318,52.26398305
1137319,52.3914377
1137320,56.95503226
1137321,56.4678481
1137322,56.64623656
1137323,56.45385294
1137324,55.59729032
1137325,55.06813505
1137401,48.32716867
1137402,48.33927711
1137403,48.04345679
1137404,47.78
1137405,48.29508671
1137406,48.89520202
1137407,51.59875
